Name,Lat Decimal,Lon Decimal,Age A,Age D,Plate,IconNum,Log(Diam)/2,Color
Dalgaranga,-27.716667,117.25,0.027,-999,801,0,0.00661552,120
Havliland,37.5833333,-99.166667,0.001,-999,801,0,0.00661552,120
Sikhote Alin,46.1166667,134.666667,0,-999,199,0,0.00987479,120
Campo del Cielo,-27.633333,-61.7,0.004,-999,202,0,0.01629946,120
Sobolev,46.3,138.866667,0.001,-999,628,0,0.01629946,120
Ilumetsa,57.9666667,25.4166667,0.002,-999,302,0,0.02571058,120
Veevers,-22.966667,125.366667,1,-999,801,0,0.02571058,120
Morasko,52.4833333,16.9,0.01,-999,315,0,0.03184053,120
Wabar,21.5,50.4666667,0.006,-999,503,0,0.03184053,120
Kaalijarvi,58.4,22.6666667,0.004,-999,302,0,0.03486383,120
Henbury,-24.583333,133.15,0.005,-999,801,0,0.04958307,120
Boxhole,-22.616667,135.2,0.03,-999,801,0,0.05245066,120
Odessa,31.75,-102.48333,0.05,-999,199,0,0.05245066,120
Macha,59.9833333,118,0.007,-999,401,0,0.08764873,120
Aouelloul,20.25,-12.683333,3.1,-999,714,0,0.11001138,120
Amguid,26.0833333,19.25,0.1,-999,715,0,0.12412923,120
Monturaqui,-23.933333,-68.283333,1,-999,202,0,0.12642527,120
Kalkkop,-32.716667,24.5666667,1.8,-999,701,0,0.1652645,120
Wolfe Creek,-19.3,127.766667,0.3,-999,801,0,0.21089065,120
Pretoria Saltpan,-25.4,28.0833333,0.22,-999,701,0,0.25259969,120
Barringer,35.0333333,-111.01667,0.049,-999,199,0,0.26188009,120
Tabun-Khara-Obo,44.1,109.6,1.8,-999,628,0,0.27825218,120
Liverpool,-12.4,134.05,150,-999,801,0,0.31921027,120
Talemzane,33.3166667,4.03333333,3,-999,714,0,0.33794823,120
Lonar,19.9666667,76.5166667,0.052,-999,501,0,0.34752803,120
Tenouomer,22.9166667,-10.4,2.5,-999,714,0,0.35569077,120
Tvaren,58.7666667,17.4166667,455,-999,302,0,0.36701635,120
Holleford,44.4666667,-76.633333,550,-999,199,0,0.40388062,120
West Hawk,49.7666667,-95.183333,100,-999,199,0,0.41273726,120
Roter Kamm,-27.766667,16.3,3.7,-999,701,0,0.41851388,120
Zeleny Gai,48.7,32.9,120,-999,302,0,0.41851388,120
Rotmistrovka,49,32,140,-999,302,0,0.43707825,120
B.P. Structure,25.3166667,24.3333333,120,-999,715,0,0.44598738,120
Granby,58.4166667,15.9333333,470,-999,302,0,0.46312307,120
Iso-Naakkima,62.1833333,27.15,1000,-999,302,0,0.46312307,120
Newporte,48.9666667,-101.96667,500,-999,199,0,0.46312307,120
