URN,label,PlateID,Latitude,Longitude,SymbolorNumber,Size,Azimuth,Start,End,Border color,Fill color,alpha
1,North America,101,54.5,-94,label,1,0,306,-250,black,none,1
2,Greenland,102,76.5,-40,label,1,0,1100,-250,black,none,1
3,North Slope,103,70.5,-166,label,1,0,1100,-250,black,none,1
4,Mexico,104,22.5,-102,label,1,0,1100,-250,black,none,1
5,Baja California,105,29.5,-115,label,1,0,0,-250,black,none,1
6,Arctic Islands,106,80.5,-98,label,1,0,1100,-250,black,none,1
7,Grand Banks,107,46.5,-51,label,1,0,1100,-250,black,none,1
8,West Avalonia,108,47.5,-61,label,1,0,404,-250,black,none,1
9,Florida/Piedmont,109,32.5,-83,label,1,0,245,-250,black,none,1
10,Alpha-Mendeleev Ridge,110,85.5,-159,label,1,0,1100,-250,black,none,1
11,Chukchi Plateau,112,78.5,-165,label,1,0,1100,-250,black,none,1
12,Northwind Ridge,113,77.5,-160,label,1,0,1100,-250,black,none,1
13,Lomonosov Ridge,114,87.5,-61,label,1,0,1100,-250,black,none,1
14,N. Chukchi/E. Siberian Sea,117,77.5,161,label,1,0,1100,-250,black,none,1
15,Angyuchim block,121,67.5,-155,label,1,0,1100,-250,black,none,1
16,Yukon-Tanana terrane,123,65.5,-146,label,1,0,1100,-250,black,none,1
17,Canadian Cordillera,124,50.5,-117,label,1,0,1100,-250,black,none,1
18,N. Wrangellia,125,60.5,-155,label,1,0,1100,-250,black,none,1
19,Peninsular Alaska,126,61.5,-149,label,1,0,1100,-250,black,none,1
20,Stikine,127,56.5,-127,label,1,0,1100,-250,black,none,1
21,S. Wrangellia,128,52.5,-127,label,1,0,1100,-250,black,none,1
22,Columbia embayment,129,46.5,-122,label,1,0,1100,-250,black,none,1
23,Sierra Nevada,130,39.5,-121,label,1,0,1100,-250,black,none,1
24,W. Basin & Range,131,41.5,-118,label,1,0,1100,-250,black,none,1
25,E. Basin & Range,132,42.5,-113,label,1,0,1100,-250,black,none,1
26,Rocky Mountains,133,38.5,-109,label,1,0,1100,-250,black,none,1
27,Mojave-Sonora,134,32.5,-110,label,1,0,1100,-250,black,none,1
28,Gulf Coast,135,30.5,-96,label,1,0,1100,-250,black,none,1
29,Gulf of Mexico,137,29.5,-87,label,1,0,1100,-250,black,none,1
30,Canada Basin,140,78.5,-142,label,1,0,1100,-250,black,none,1
31,North Polar Basin,141,88.5,-160,label,1,0,1100,-250,black,none,1
32,Amazon craton,201,-6.5,-60,label,1,0,1100,-250,black,none,1
33,N. Argentina,202,-28.5,-62,label,1,0,1100,-250,black,none,1
34,Northwestern South America,203,9.5,-75,label,1,0,1100,-250,black,none,1
35,Chortis,204,15.5,-86,label,1,0,47.9,-250,black,none,1
36,Yucatan,205,20.5,-90,label,1,0,175,-250,black,none,1
37,Cuba,206,23.5,-80,label,1,0,118.7,-250,black,none,1
38,Cayman Ridge,216,20.5,-82,label,1,0,1100,-250,black,none,1
39,West Cayman Basin,217,18.5,-84,label,1,0,1100,-250,black,none,1
40,East Cayman Basin,218,20.5,-77,label,1,0,1100,-250,black,none,1
41,Rosalind bank,221,18,-80,label,1,0,1100,-250,black,none,1
42,Jamaica,222,19.5,-78,label,1,0,79.1,-250,black,none,1
43,Quinto Sueno/Baja Nuevo,223,16.5,-77,label,1,0,1100,-250,black,none,1
44,Carribean plate,224,16.5,-70,label,1,0,1100,-250,black,none,1
45,Panama,230,9.5,-81,label,1,0,0,-250,black,none,1
46,pre-Cordillera terrane,237,20.5,-67,label,1,0,1100,-250,black,none,1
47,Lesser Antilles,239,16.5,-61,label,1,0,1100,-250,black,none,1
48,Yucatan transitional crust,251,25.5,-87,label,1,0,1100,-250,black,none,1
49,Hispaniola,252,20.5,-72,label,1,0,72,-250,black,none,1
50,Amazonia craton,262,-2.5,-63,label,1,0,143.8,-250,black,none,1
51,Sao Francisco block,263,-14.5,-46,label,1,0,1100,-250,black,none,1
52,Altiplano accretionary belt,264,-18.5,-66,label,1,0,1100,-250,black,none,1
53,Andes accretionary belt,265,-38.5,-70,label,1,0,1100,-250,black,none,1
54,Pampean-Rio de la Plata block,266,-28.5,-60,label,1,0,1100,-250,black,none,1
55,Don Feliciano block,267,-22,-45,label,1,0,1100,-250,black,none,1
56,C. Argentina,290,-36.5,-61,label,1,0,1100,-250,black,none,1
57,S. Argentina,291,-43.5,-68,label,1,0,1100,-250,black,none,1
58,Northern Europe,301,61.5,30,label,1,0,-75,-250,black,none,1
59,Northern Highlands,303,59.5,-5,label,1,0,235,-250,black,none,1
60,Iberia,304,41.5,-4,label,1,0,0,-250,black,none,1
61,Hercynian Europe,305,47.5,1,label,1,0,306,-250,black,none,1
62,Corsica and Sardinia,306,41.5,9,label,1,0,0,-250,black,none,1
63,Apulia,307,45.5,13,label,1,0,1100,-250,black,none,1
64,Hellinides-Carpathians,308,47.5,21,label,1,0,1100,-250,black,none,1
65,W. Svalbard,309,77.5,16,label,1,0,235,-250,black,none,1
66,Barentsia,310,79.5,34,label,1,0,235,-250,black,none,1
67,Midland Valley,313,57.5,-2,label,1,0,1100,-250,black,none,1
68,East Avalonia,315,54.5,1,label,1,0,458,-250,black,none,1
69,East Rockall Bank,317,56.5,-17,label,1,0,255,-250,black,none,1
70,West Rockall Bank,318,59.5,-19,label,1,0,1100,-250,black,none,1
71,Moesia,319,45.5,25,label,1,0,1100,-250,black,none,1
72,Baltica,320,40.5,2,label,1,0,1100,-250,black,none,1
73,Alboran plate,321,39.5,3,label,1,0,1100,-250,black,none,1
74,Bay of Biscay transitional crust,322,46.5,-3.5,label,1,0,1100,-250,black,none,1
75,Malta/Gulf of Gabes,323,36.5,14,label,1,0,1100,-250,black,none,1
76,Faroes,324,63.5,-7,label,1,0,1100,-250,black,none,1
77,West Rockall gap,325,60.5,-12,label,1,0,1100,-250,black,none,1
78,East Rockall gap,326,59.5,-10,label,1,0,1100,-250,black,none,1
79,Voring Plateau,327,65.5,3,label,1,0,1100,-250,black,none,1
80,Cantabrian transitional crust,328,45.5,-3,label,1,0,1100,-250,black,none,1
81,Aegean Sea,329,40.5,25,label,1,0,1100,-250,black,none,1
82,Crete,330,36.5,25,label,1,0,1100,-250,black,none,1
83,Cyprus,331,37.5,31,label,1,0,1100,-250,black,none,1
84,Porcupine Bank,332,53.5,-14,label,1,0,1100,-250,black,none,1
85,Yermak Plateau,350,83,5,label,1,0,1100,-250,black,none,1
86,Siberia,401,63.5,107,label,1,0,280,-250,black,none,1
87,Kazakhstania,402,49.5,71,label,1,0,306,-250,black,none,1
88,Omolon,403,66.5,161,label,1,0,70,-250,black,none,1
89,Kolyma,405,71.5,147,label,1,0,1100,-250,black,none,1
90,Kamchatka,406,61.5,-170,label,1,0,1100,-250,black,none,1
91,Dzungar Basin,407,44.5,89,label,1,0,1100,-250,black,none,1
92,Voronin Trough,409,81.5,72,label,1,0,1100,-250,black,none,1
93,Sea of Okhotsk,410,53.5,148,label,1,0,1100,-250,black,none,1
94,Aleutian Islands,416,53,-180,label,1,0,1100,-250,black,none,1
95,Bering Sea,420,58.5,174,label,1,0,1100,-250,black,none,1
96,India,501,24.5,78,label,1,0,0,-250,black,none,1
97,Sri Lanka,502,9.5,80,label,1,0,1100,-250,black,none,1
98,Arabia,503,27.5,45,label,1,0,600,-250,black,none,1
99,Turkey,504,39.5,33,label,1,0,33.5,-250,black,none,1
100,Lut block,505,34.5,56,label,1,0,65,-250,black,none,1
101,Sistan block,506,36.5,64,label,1,0,1100,-250,black,none,1
