URN,label,PlateID,Latitude,Longitude,SymbolorNumber,Size,Azimuth,Start,End,Border color,Fill color,alpha
1,101,101,54.5,-94,label,1,0,306,-250,black,none,1
2,102,102,76.5,-40,label,1,0,1100,-250,black,none,1
3,103,103,70.5,-166,label,1,0,1100,-250,black,none,1
4,104,104,22.5,-102,label,1,0,1100,-250,black,none,1
5,105,105,29.5,-115,label,1,0,0,-250,black,none,1
6,106,106,80.5,-98,label,1,0,1100,-250,black,none,1
7,107,107,46.5,-51,label,1,0,1100,-250,black,none,1
8,108,108,47.5,-61,label,1,0,404,-250,black,none,1
9,109,109,32.5,-83,label,1,0,245,-250,black,none,1
10,110,110,85.5,-159,label,1,0,1100,-250,black,none,1
11,112,112,78.5,-165,label,1,0,1100,-250,black,none,1
12,113,113,77.5,-160,label,1,0,1100,-250,black,none,1
13,114,114,87.5,-61,label,1,0,1100,-250,black,none,1
14,117,117,77.5,161,label,1,0,1100,-250,black,none,1
15,121,121,67.5,-155,label,1,0,1100,-250,black,none,1
16,123,123,65.5,-146,label,1,0,1100,-250,black,none,1
17,124,124,50.5,-117,label,1,0,1100,-250,black,none,1
18,125,125,60.5,-155,label,1,0,1100,-250,black,none,1
19,126,126,61.5,-149,label,1,0,1100,-250,black,none,1
20,127,127,56.5,-127,label,1,0,1100,-250,black,none,1
21,128,128,52.5,-127,label,1,0,1100,-250,black,none,1
22,129,129,46.5,-122,label,1,0,1100,-250,black,none,1
23,130,130,39.5,-121,label,1,0,1100,-250,black,none,1
24,131,131,41.5,-118,label,1,0,1100,-250,black,none,1
25,132,132,42.5,-113,label,1,0,1100,-250,black,none,1
26,133,133,38.5,-109,label,1,0,1100,-250,black,none,1
27,134,134,32.5,-110,label,1,0,1100,-250,black,none,1
28,135,135,30.5,-96,label,1,0,1100,-250,black,none,1
29,137,137,29.5,-87,label,1,0,1100,-250,black,none,1
30,140,140,78.5,-142,label,1,0,1100,-250,black,none,1
31,141,141,88.5,-160,label,1,0,1100,-250,black,none,1
32,201,201,-6.5,-60,label,1,0,1100,-250,black,none,1
33,202,202,-28.5,-62,label,1,0,1100,-250,black,none,1
34,203,203,9.5,-75,label,1,0,1100,-250,black,none,1
35,204,204,15.5,-86,label,1,0,47.9,-250,black,none,1
36,205,205,20.5,-90,label,1,0,175,-250,black,none,1
37,206,206,23.5,-80,label,1,0,118.7,-250,black,none,1
38,216,216,20.5,-82,label,1,0,1100,-250,black,none,1
39,217,217,18.5,-84,label,1,0,1100,-250,black,none,1
40,218,218,20.5,-77,label,1,0,1100,-250,black,none,1
