URN,label,PlateID,PoleLatitude,PoleLongitude,Symbol,Size,azimuth,Told,Tyoung,liine,fill,alpha
15801,15801 1695,1695,85,-177,circle,1.9725,0,16,-4,black,byPlateId,1
15802,15802 676,676,86,-30,circle,1.907,0,13,-7,black,byPlateId,1
15803,15803 615,615,85,-53,circle,2.3,0,10,-10,black,byPlateId,1
15804,15804 1046,1046,84,-39,circle,1.252,0,10,-10,black,byPlateId,1
15805,15805 611,611,81,-30,circle,1.907,0,10,-10,black,byPlateId,1
15806,15806 619,619,79,-43,circle,0.55,0,10,-10,black,byPlateId,1
15807,15807 1042,1042,83,-15,circle,2.038,0,10,-10,black,byPlateId,1
15808,15808 1600,1600,83,-33,circle,1.9725,0,10,-10,black,byPlateId,1
15809,15809 611,611,77,-167,circle,1.383,0,20,0,black,byPlateId,1
15810,15810 512,512,77,174,circle,1.645,0,20,0,black,byPlateId,1
15811,15811 715,715,86,152,circle,2.1035,0,10,-10,black,byPlateId,1
15812,15812 605,605,82,-104,circle,1.776,0,20,0,black,byPlateId,1
15813,15813 329,329,76,148,circle,1.7105,0,19,-1,black,byPlateId,1
15814,15814 329,329,82,141,circle,1.9725,0,16,-4,black,byPlateId,1
15815,15815 5012,5012,81,-156,circle,1.8415,0,10,-10,black,byPlateId,1
15816,15816 615,615,86,-47,circle,1.9725,0,10,-10,black,byPlateId,1
15817,15817 8011,8011,63,36,circle,1.3175,0,18,-2,black,byPlateId,1
15818,15818 8011,8011,34,55,circle,2.3,0,10,-10,black,byPlateId,1
15819,15819 323,323,50,98,circle,1.8415,0,10,-10,black,byPlateId,1
15820,15820 308,308,88,-40,circle,1.776,0,19,-1,black,byPlateId,1
15821,15821 308,308,75,132,circle,1.252,0,10,-10,black,byPlateId,1
15822,15822 308,308,77,70,circle,1.645,0,10,-10,black,byPlateId,1
15823,15823 330,330,82,-156,circle,1.8415,0,10,-10,black,byPlateId,1
15824,15824 507,507,78,-130,circle,1.776,0,10,-10,black,byPlateId,1
15825,15825 305,305,88,-149,circle,1.907,0,10,-10,black,byPlateId,1
15826,15826 323,323,86,-21,circle,1.9725,0,13,-7,black,byPlateId,1
15827,15827 323,323,84,-99,circle,1.9725,0,20,0,black,byPlateId,1
15828,15828 679,679,48,49,circle,1.514,0,10,-10,black,byPlateId,1
15829,15829 301,301,84,-142,circle,2.038,0,10,-10,black,byPlateId,1
15830,15830 308,308,87,-162,circle,2.1035,0,26,6,black,byPlateId,1
15831,15831 305,305,87,-13,circle,2.3,0,20,0,black,byPlateId,1
15832,15832 615,615,86,171,circle,1.9725,0,20,0,black,byPlateId,1
15833,15833 615,615,66,-170,circle,1.8415,0,27,7,black,byPlateId,1
15834,15834 1616,1616,71,-167,circle,1.9725,0,22,2,black,byPlateId,1
15835,15835 1600,1600,83,-31,circle,2.038,0,10,-10,black,byPlateId,1
15836,15836 503,503,83,-13,circle,1.4485,0,20,0,black,byPlateId,1
15837,15837 1684,1684,85,26,circle,1.1865,0,10,-10,black,byPlateId,1
15838,15838 1618,1618,75,-122,circle,1.5795,0,20,0,black,byPlateId,1
15839,15839 1018,1018,82,-111,circle,1.776,0,25,5,black,byPlateId,1
15840,15840 1018,1018,82,-115,circle,1.645,0,26,6,black,byPlateId,1
15841,15841 1680,1680,40,28,circle,1.121,0,20,0,black,byPlateId,1
15842,15842 1669,1669,89,13,circle,1.8415,0,10,-10,black,byPlateId,1
15843,15843 323,323,82,-159,circle,1.7105,0,23,3,black,byPlateId,1
15844,15844 308,308,68,143,circle,1.645,0,10,-10,black,byPlateId,1
15845,15845 308,308,71,134,circle,1.121,0,10,-10,black,byPlateId,1
15846,15846 330,330,82,-158,circle,1.776,0,10,-10,black,byPlateId,1
15847,15847 1061,1061,16,34,circle,2.038,0,20,0,black,byPlateId,1
15848,15848 3291,3291,48,115,circle,1.8415,0,25,5,black,byPlateId,1
15849,15849 3453,3453,84,-162,circle,1.9725,0,10,-10,black,byPlateId,1
15850,15850 1661,1661,85,-88,circle,1.514,0,12,-8,black,byPlateId,1
15851,15851 1600,1600,74,-149,circle,1.8415,0,18,-2,black,byPlateId,1
15852,15852 1663,1663,84,-1,circle,1.776,0,10,-10,black,byPlateId,1
15853,15853 330,330,81,-135,circle,1.9725,0,13,-7,black,byPlateId,1
15854,15854 323,323,79,-115,circle,1.645,0,29,9,black,byPlateId,1
15855,15855 309,309,75,-125,circle,2.038,0,10,-10,black,byPlateId,1
15856,15856 605,605,43,161,circle,1.1865,0,36,16,black,byPlateId,1
15857,15857 1658,1658,75,-68,circle,1.8415,0,12,-8,black,byPlateId,1
15858,15858 3452,3452,73,144,circle,2.3,0,10,-10,black,byPlateId,1
15859,15859 510,510,63,-66,circle,1.7105,0,10,-10,black,byPlateId,1
15860,15860 1804,1804,83,-152,circle,1.1865,0,10,-10,black,byPlateId,1
15861,15861 675,675,6,-128,circle,0.335,0,10,-10,black,byPlateId,1
15862,15862 512,512,60,170,circle,1.252,0,39,19,black,byPlateId,1
15863,15863 5012,5012,73,-164,circle,1.8415,0,10,-10,black,byPlateId,1
15864,15864 1803,1803,10,-141,circle,0.6625,0,10,-10,black,byPlateId,1
15865,15865 8011,8011,55,-140,circle,2.3,0,10,-10,black,byPlateId,1
15866,15866 1658,1658,81,-172,circle,1.9725,0,29,9,black,byPlateId,1
15867,15867 1658,1658,82,-66,circle,1.4485,0,12,-8,black,byPlateId,1
15868,15868 1658,1658,80,-67,circle,1.252,0,12,-8,black,byPlateId,1
15869,15869 508,508,26,-50,circle,2.3,0,38,18,black,byPlateId,1
15870,15870 1018,1018,88,-129,circle,1.252,0,16,-4,black,byPlateId,1
15871,15871 1042,1042,40,-142,circle,2.3,0,28,8,black,byPlateId,1
15872,15872 611,611,75,41,circle,1.5795,0,10,-10,black,byPlateId,1
15873,15873 3412,3412,65,136,circle,1.776,0,30,10,black,byPlateId,1
15874,15874 5031,5031,76,99,circle,2.169,0,10,-10,black,byPlateId,1
15875,15875 604,604,76,178,circle,1.907,0,32,12,black,byPlateId,1
15876,15876 3412,3412,83,164,circle,2.038,0,34,14,black,byPlateId,1
15877,15877 510,510,78,146,circle,1.3175,0,32,12,black,byPlateId,1
15878,15878 3454,3454,65,-74,circle,1.5795,0,25,5,black,byPlateId,1
15879,15879 510,510,80,176,circle,1.8415,0,33,13,black,byPlateId,1
15880,15880 510,510,65,152,circle,0.99,0,32,12,black,byPlateId,1
15881,15881 510,510,48,101,circle,0.9245,0,33,13,black,byPlateId,1
15882,15882 1600,1600,69,32,circle,1.8415,0,12,-8,black,byPlateId,1
15883,15883 1618,1618,33,18,circle,1.4485,0,12,-8,black,byPlateId,1
15884,15884 1662,1662,33,29,circle,1.121,0,12,-8,black,byPlateId,1
15885,15885 1669,1669,67,-153,circle,0.9245,0,22,2,black,byPlateId,1
15886,15886 1623,1623,66,-145,circle,1.776,0,23,3,black,byPlateId,1
15887,15887 306,306,70,-120,circle,1.7105,0,35,15,black,byPlateId,1
15888,15888 306,306,33,-68,circle,2.1035,0,35,15,black,byPlateId,1
15889,15889 512,512,76,-49,circle,1.514,0,20,0,black,byPlateId,1
15890,15890 358,358,81,-171,circle,2.3,0,17,-3,black,byPlateId,1
15891,15891 307,307,69,-89,circle,1.8415,0,39,19,black,byPlateId,1
15892,15892 3412,3412,50,112,circle,1.252,0,36,16,black,byPlateId,1
15893,15893 1618,1618,72,24,circle,2.3,0,15,-5,black,byPlateId,1
15894,15894 656,656,35,-132,circle,1.1865,0,36,16,black,byPlateId,1
15895,15895 305,305,79,124,circle,1.9725,0,50,30,black,byPlateId,1
15896,15896 604,604,89,29,circle,1.776,0,20,0,black,byPlateId,1
15897,15897 1018,1018,88,10,circle,2.038,0,10,-10,black,byPlateId,1
15898,15898 1018,1018,85,-119,circle,1.9725,0,22,2,black,byPlateId,1
15899,15899 7161,7161,81,168,circle,1.907,0,43,23,black,byPlateId,1
15900,15900 7161,7161,87,-106,circle,1.5795,0,36,16,black,byPlateId,1
15901,15901 708,708,76,135,circle,1.7105,0,10,-10,black,byPlateId,1
15902,15902 5031,5031,75,-140,circle,1.907,0,39,19,black,byPlateId,1
15903,15903 512,512,64,-57,circle,1.1865,0,30,10,black,byPlateId,1
