URN,label,PlateID,Latitude,Longitude,SymbolorNumber,Size,Azimuth,Start,End,Border color,Fill color,alpha
1,a,201,0,120,label,2,90,999,-999,blue,lightblue,1
2,b,201,0,110,label,2,90,999,-999,blue,lightblue,1
3,c,201,0,100,label,2,90,999,-999,blue,lightblue,1
4,d,201,0,90,label,2,90,999,-999,blue,lightblue,1
5,e,201,0,80,label,2,90,999,-999,blue,lightblue,1
6,f,201,0,70,label,2,90,999,-999,blue,lightblue,1
7,g,201,0,60,label,2,90,999,-999,blue,lightblue,1
8,h,201,0,50,label,2,90,999,-999,blue,lightblue,1
9,i,201,0,40,label,2,90,999,-999,blue,lightblue,1
10,j,201,0,30,label,2,90,999,-999,blue,lightblue,1
11,k,201,0,20,label,2,90,999,-999,blue,lightblue,1
12,l,201,0,10,label,2,90,999,-999,blue,lightblue,1
13,m,201,0,0,label,2,90,999,-999,blue,lightblue,1
14,n,201,0,-10,label,2,90,999,-999,blue,lightblue,1
15,o,201,0,-20,label,2,90,999,-999,blue,lightblue,1
16,p,201,0,-30,label,2,90,999,-999,blue,lightblue,1
17,q,201,0,-40,label,2,90,999,-999,blue,lightblue,1
18,r,201,0,-50,label,2,90,999,-999,blue,lightblue,1
19,s,201,0,-60,label,2,90,999,-999,blue,lightblue,1
20,t,201,0,-70,label,2,90,999,-999,blue,lightblue,1
21,u,201,0,-80,label,2,90,999,-999,blue,lightblue,1
22,v,201,0,-90,label,2,90,999,-999,blue,lightblue,1
23,w,201,0,-100,label,2,90,999,-999,blue,lightblue,1
24,x,201,0,-110,label,2,90,999,-999,blue,lightblue,1
25,y,201,0,-120,label,2,90,999,-999,blue,lightblue,1
26,z,201,0,-130,label,2,90,999,-999,blue,lightblue,1
