URN,Description,PlateID,PoleLatitude,PoleLongitude,symbol,pseudoQ,azi,OldAge,YoungAge,border,fill,psuedoQ
3,18 432 17.6 282 Powermanetal(2013) Nyuya Lena River sediments,401,17.6,282,circle,3.4117,0,442,422,black,byPlateId,0.798422392
3,18 432 17.6 282 Powermanetal(2013) Nyuya Lena River sediments,401,-17.6,102,circle,3.4117,0,442,422,black,byPlateId,0.798422392
4,31 432 60.1 339 Huangetal(2000)a Zhaohuajing Hanxia groups,604,60.1,339,circle,3.4117,0,442,422,black,byPlateId,0.798422392
4,31 432 60.1 339 Huangetal(2000)a Zhaohuajing Hanxia groups,604,-60.1,159,circle,3.4117,0,442,422,black,byPlateId,0.798422392
5,39 432 14.9 196.1 Huangetal(2000)b Silurian sediments,611,14.9,196.1,circle,3.4117,0,442,422,black,byPlateId,0.798422392
5,39 432 14.9 196.1 Huangetal(2000)b Silurian sediments,611,-14.9,16.1,circle,3.4117,0,442,422,black,byPlateId,0.798422392
6,40 432 4.9 194.7 Opdykeetal(1987) Silurian sediments,611,4.9,194.7,circle,3.4117,0,442,422,black,byPlateId,0.798422392
6,40 432 4.9 194.7 Opdykeetal(1987) Silurian sediments,611,-4.9,14.7,circle,3.4117,0,442,422,black,byPlateId,0.798422392
7,47 432 12.1 158.4 Fangetal(1996) Silurian sediments,601,12.1,158.4,circle,3.4117,0,442,422,black,byPlateId,0.798422392
7,47 432 12.1 158.4 Fangetal(1996) Silurian sediments,601,-12.1,-21.6,circle,3.4117,0,442,422,black,byPlateId,0.798422392
8,19 433 18.6 281.9 Shatsilloetal(2007) Nyuya Lena River sediments,401,18.6,281.9,circle,3.4117,0,443,423,black,byPlateId,0.798422392
8,19 433 18.6 281.9 Shatsilloetal(2007) Nyuya Lena River sediments,401,-18.6,101.9,circle,3.4117,0,443,423,black,byPlateId,0.798422392
9,1 444 14 304 Cocks&Torsvik(2007) Moyero River sediments,401,14,304,circle,3.4117,0,454,434,black,byPlateId,0.798422392
9,1 444 14 304 Cocks&Torsvik(2007) Moyero River sediments,401,-14,124,circle,3.4117,0,454,434,black,byPlateId,0.798422392
10,20 449 21 289 Cocks&Torsvik(2007) Lena River sediments,401,21,289,circle,3.4117,0,459,439,black,byPlateId,0.798422392
10,20 449 21 289 Cocks&Torsvik(2007) Lena River sediments,401,-21,109,circle,3.4117,0,459,439,black,byPlateId,0.798422392
11,21 451 31.3 309.5 Powermanetal(2013) Nyuya River sediments,401,31.3,309.5,circle,3.4117,0,461,441,black,byPlateId,0.798422392
11,21 451 31.3 309.5 Powermanetal(2013) Nyuya River sediments,401,-31.3,129.5,circle,3.4117,0,461,441,black,byPlateId,0.798422392
12,2 455 29.5 320.2 Pavlovetal(2012) Angara River sediments,401,29.5,320.2,circle,3.4117,0,465,445,black,byPlateId,0.798422392
12,2 455 29.5 320.2 Pavlovetal(2012) Angara River sediments,401,-29.5,140.2,circle,3.4117,0,465,445,black,byPlateId,0.798422392
13,41 456 -45.8 191.3 Hanetal(2015) Pagoda fm  Sichuan Province,611,-45.8,191.3,circle,3.4117,0,466,446,black,byPlateId,0.798422392
13,41 456 -45.8 191.3 Hanetal(2015) Pagoda fm  Sichuan Province,611,45.8,11.3,circle,3.4117,0,466,446,black,byPlateId,0.798422392
14,48 458 -40.7 183.3 Sun&Huang(2009)Aksu Kalpin Bachu area sediments,601,-40.7,183.3,circle,3.4117,0,468,448,black,byPlateId,0.798422392
14,48 458 -40.7 183.3 Sun&Huang(2009)Aksu Kalpin Bachu area sediments,601,40.7,3.3,circle,3.4117,0,468,448,black,byPlateId,0.798422392
15,51 458 -10.1 212 Metelkinetal(2005) Stroininskay Ozerninskaya fms,401,-10.1,212,circle,3.4117,0,468,448,black,byPlateId,0.798422392
15,51 458 -10.1 212 Metelkinetal(2005) Stroininskay Ozerninskaya fms,401,10.1,32,circle,3.4117,0,468,448,black,byPlateId,0.798422392
16,3 461 24.1 332.4 Pavlovetal(2008) Kulumbe section,401,24.1,332.4,circle,3.4117,0,471,451,black,byPlateId,0.798422392
16,3 461 24.1 332.4 Pavlovetal(2008) Kulumbe section,401,-24.1,152.4,circle,3.4117,0,471,451,black,byPlateId,0.798422392
17,4 461 22 338 Cocks&Torsvik(2007) Stolobovaya section,401,22,338,circle,3.4117,0,471,451,black,byPlateId,0.798422392
17,4 461 22 338 Cocks&Torsvik(2007) Stolobovaya section,401,-22,158,circle,3.4117,0,471,451,black,byPlateId,0.798422392
18,22 461 21.1 323.4 Pavlovetal(2008) Kudrino section,401,21.1,323.4,circle,3.4117,0,471,451,black,byPlateId,0.798422392
18,22 461 21.1 323.4 Pavlovetal(2008) Kudrino section,401,-21.1,143.4,circle,3.4117,0,471,451,black,byPlateId,0.798422392
19,5 463 23 338 Cocks&Torsvik(2007) Moyero River sediments,401,23,338,circle,3.4117,0,473,453,black,byPlateId,0.798422392
19,5 463 23 338 Cocks&Torsvik(2007) Moyero River sediments,401,-23,158,circle,3.4117,0,473,453,black,byPlateId,0.798422392
20,23 464 25.6 297.9 Cocks&Torsvik(2007) Krivaya Luka fm,401,25.6,297.9,circle,3.4117,0,474,454,black,byPlateId,0.798422392
20,23 464 25.6 297.9 Cocks&Torsvik(2007) Krivaya Luka fm,401,-25.6,117.9,circle,3.4117,0,474,454,black,byPlateId,0.798422392
21,24 464 28.2 307.1 Cocks&Torsvik(2007) Krivaya Luka fm,401,28.2,307.1,circle,3.4117,0,474,454,black,byPlateId,0.798422392
21,24 464 28.2 307.1 Cocks&Torsvik(2007) Krivaya Luka fm,401,-28.2,127.1,circle,3.4117,0,474,454,black,byPlateId,0.798422392
22,32 464 31.5 327.7 Huangetal(1999)b middle Ordovician carbonates,604,31.5,327.7,circle,3.4117,0,474,454,black,byPlateId,0.798422392
22,32 464 31.5 327.7 Huangetal(1999)b middle Ordovician carbonates,604,-31.5,147.7,circle,3.4117,0,474,454,black,byPlateId,0.798422392
23,42 464 -38.9 235.7 Fangetal(1990)  Hongshiya fm Yunnan Province,611,-38.9,235.7,circle,3.4117,0,474,454,black,byPlateId,0.798422392
23,42 464 -38.9 235.7 Fangetal(1990)  Hongshiya fm Yunnan Province,611,38.9,55.7,circle,3.4117,0,474,454,black,byPlateId,0.798422392
