URN,Label,Plate ID,Lat,Lon,Symbol,Size,Azimuth,Start Time,End Time,Border Color,Fill Color
1,urn,0,0,-112,urn,3,0,4500,0,black,powderblue
2, label,0,0,-104,label,3,0,4500,0,black,powderblue
3, circle,0,0,-93,circle,3,0,4500,0,black,powderblue
4, dot,0,0,-88,dot,3,0,4500,0,black,none
5, triangle,0,0,-80,triangle,3,0,4500,0,black,powderblue
6, square,0,0,-72,square,3,0,4500,0,black,powderblue
7, plus,0,0,-64,plus,3,0,4500,0,black,powderblue
8, cross,0,0,-56,cross,3,0,4500,0,black,none
9, storm,0,0,-48,storm,3,0,4500,0,black,powderblue
10, asterisk,0,0,-40,asterisk,3,0,4500,0,black,none
11, diamond,0,0,-32,diamond,3,0,4500,0,black,powderblue
12, star,0,0,-24,star,3,0,4500,0,black,powderblue
13, dextral,0,0,-16,dextral,3,0,4500,0,black,none
14, sinistral,0,0,-8,sinistral,3,0,4500,0,black,none
15, arrow01,0,0,0,arrow01,3,0,4500,0,black,none
16, arrow02,0,0,8,arrow02,3,0,4500,0,black,none
17, arrow03,0,0,16,arrow03,3,0,4500,0,black,none
18, arrow04,0,0,24,arrow04,3,0,4500,0,black,powderblue
19, arrow05,0,0,32,arrow05,3,0,4500,0,black,powderblue
20, arrow06,0,0,40,arrow06,3,0,4500,0,black,powderblue
21, subduction,0,0,48,subduction,3,0,4500,0,black,powderblue
22, normal,0,0,56,normal,3,0,4500,0,black,none
23, conglomerate,0,0,64,conglomerate,3,0,4500,0,black,none
24, sand,0,0,72,sand,3,0,4500,0,black,none
25, sandwmud,0,0,80,sandwmud,3,0,4500,0,black,none
26, mud,0,0,88,mud,3,0,4500,0,black,none
27, mudwls,0,0,96,mudwls,3,0,4500,0,black,none
28, lswmud,0,0,104,lswmud,3,0,4500,0,black,none
29, limestone,0,0,112,limestone,3,0,4500,0,black,none
