URN,Label,Plate ID,Lat,Lon,Symbol,Size,Azimuth,Start Time,End Time,Border Color,Fill Color,Alpha
1,urn,0,10,-56,urn,3,0,4500,0,black,powderblue,1
2,label,0,10,-48,label,3,0,4500,0,black,powderblue,1
3,circle,0,10,-36,circle,3,0,4500,0,black,powderblue,1
4,dot,0,10,-32,dot,3,0,4500,0,black,none,1
5,triangle,0,10,-24,triangle,3,0,4500,0,black,powderblue,1
6,square,0,10,-16,square,3,0,4500,0,black,powderblue,1
7,plus,0,10,-8,plus,3,0,4500,0,black,powderblue,1
8,cross,0,10,0,cross,3,0,4500,0,black,none,1
9,storm,0,10,8,storm,3,0,4500,0,black,powderblue,1
10,asterisk,0,10,16,asterisk,3,0,4500,0,black,none,1
11,diamond,0,10,24,diamond,3,0,4500,0,black,powderblue,1
12,star,0,10,32,star,3,0,4500,0,black,powderblue,1
13,dextral,0,10,40,dextral,3,0,4500,0,black,none,1
14,sinistral,0,10,48,sinistral,3,0,4500,0,black,none,1
15,arrow01,0,10,56,arrow01,3,0,4500,0,black,none,1
16,arrow02,0,-20,-52,arrow02,3,0,4500,0,black,none,1
17,arrow03,0,-20,-44,arrow03,3,0,4500,0,black,none,1
18,arrow04,0,-20,-36,arrow04,3,0,4500,0,black,powderblue,1
19,arrow05,0,-20,-28,arrow05,3,0,4500,0,black,powderblue,1
20,arrow06,0,-20,-20,arrow06,3,0,4500,0,black,powderblue,1
21,subduction,0,-20,-12,subduction,3,0,4500,0,black,powderblue,1
22,normal,0,-20,-4,normal,3,0,4500,0,black,none,1
23,conglomerate,0,-20,4,conglomerate,3,0,4500,0,black,none,1
24,sand,0,-20,12,sand,3,0,4500,0,black,none,1
25,sandwmud,0,-20,20,sandwmud,3,0,4500,0,black,none,1
26,mud,0,-20,28,mud,3,0,4500,0,black,none,1
27,mudwls,0,-20,36,mudwls,3,0,4500,0,black,none,1
28,lswmud,0,-20,44,lswmud,3,0,4500,0,black,none,1
29,limestone,0,-20,52,limestone,3,0,4500,0,black,none,1
1,urn          ,0,23,-56,label,2,90,4500,0,black,black,1
2,label        ,0,23,-48,label,2,90,4500,0,black,black,1
3,circle       ,0,23,-36,label,2,90,4500,0,black,black,1
4,dot          ,0,23,-32,label,2,90,4500,0,black,black,1
5,triangle     ,0,23,-24,label,2,90,4500,0,black,black,1
6,square       ,0,23,-16,label,2,90,4500,0,black,black,1
7,plus         ,0,23,-8,label,2,90,4500,0,black,black,1
8,cross        ,0,23,0,label,2,90,4500,0,black,black,1
9,storm        ,0,23,8,label,2,90,4500,0,black,black,1
10,asterisk    ,0,23,16,label,2,90,4500,0,black,black,1
11,diamond     ,0,23,24,label,2,90,4500,0,black,black,1
12,star        ,0,23,32,label,2,90,4500,0,black,black,1
13,dextral     ,0,23,40,label,2,90,4500,0,black,black,1
14,sinistral   ,0,23,48,label,2,90,4500,0,black,black,1
15,arrow01     ,0,23,56,label,2,90,4500,0,black,black,1
16,arrow02     ,0,-7,-52,label,2,90,4500,0,black,black,1
17,arrow03     ,0,-7,-44,label,2,90,4500,0,black,black,1
18,arrow04     ,0,-7,-36,label,2,90,4500,0,black,black,1
19,arrow05     ,0,-7,-28,label,2,90,4500,0,black,black,1
20,arrow06     ,0,-7,-20,label,2,90,4500,0,black,black,1
21,subduction  ,0,-7,-12,label,2,90,4500,0,black,black,1
22,normal      ,0,-7,-4,label,2,90,4500,0,black,black,1
23,conglomerate,0,-7,4,label,2,90,4500,0,black,black,1
24,sand        ,0,-7,12,label,2,90,4500,0,black,black,1
25,sandwmud    ,0,-7,20,label,2,90,4500,0,black,black,1
26,mud         ,0,-7,28,label,2,90,4500,0,black,black,1
27,mudwls      ,0,-7,36,label,2,90,4500,0,black,black,1
28,lswmud      ,0,-7,44,label,2,90,4500,0,black,black,1
29,limestone   ,0,-7,52,label,2,90,4500,0,black,black,1
