URN,URN,Total URN,Label,Label,Total Label,PlateID,PlateID,Total PlateID,RLat,RLat,Total Rlat,RLon,RLon,Total Rlon,symbol,symbol,Total Symbol,size,size,Total size,azimuth,start,start,Total Start,end,border color,fill color,fill color,Total fill color
15955,15955,15955,30,30,30,101,101,101,86.03,86.03,86.03,88.82,88.82,88.82,circle,label,circle,2,0.7,2,0,30,30,30,0,none,byOceanAge,black,byOceanAge
15960,15960,15955,30,30,30,101,101,101,83.13,83.13,86.03,-137.35,-137.35,88.82,circle,label,label,2,0.7,0.7,0,30,30,30,0,none,byOceanAge,black,black
15966,15966,15960,40,40,30,101,101,101,85.43,85.43,83.13,104.69,104.69,-137.35,circle,label,circle,2,0.7,2,0,40,40,30,0,none,byOceanAge,black,byOceanAge
15973,15973,15960,40,40,30,101,101,101,83.91,83.91,83.13,29.9,29.9,-137.35,circle,label,label,2,0.7,0.7,0,40,40,30,0,none,byOceanAge,black,black
15974,15974,15966,40,40,40,101,101,101,86.44,86.44,85.43,-40.55,-40.55,104.69,circle,label,circle,2,0.7,2,0,40,40,40,0,none,byOceanAge,black,byOceanAge
15975,15975,15966,40,40,40,101,101,101,81.32,81.32,85.43,131.04,131.04,104.69,circle,label,label,2,0.7,0.7,0,40,40,40,0,none,byOceanAge,black,black
16003,16003,15973,40,40,40,133,133,101,68.81,68.81,83.91,-106.86,-106.86,29.9,circle,label,circle,2,0.7,2,0,40,40,40,0,none,byOceanAge,black,byOceanAge
16004,16004,15973,40,40,40,101,101,101,72.29,72.29,83.91,-165.78,-165.78,29.9,circle,label,label,2,0.7,0.7,0,40,40,40,0,none,byOceanAge,black,black
16025,16025,15974,50,50,40,102,102,101,71.81,71.81,86.44,-174.7,-174.7,-40.55,circle,label,circle,2,0.7,2,0,50,50,40,0,none,byOceanAge,black,byOceanAge
16038,16038,15974,50,50,40,102,102,101,71.06,71.06,86.44,169.77,169.77,-40.55,circle,label,label,2,0.7,0.7,0,50,50,40,0,none,byOceanAge,black,black
16039,16039,15975,50,50,40,102,102,101,78.48,78.48,81.32,174.65,174.65,131.04,circle,label,circle,2,0.7,2,0,50,50,40,0,none,byOceanAge,black,byOceanAge
16044,16044,15975,50,50,40,102,102,101,71.52,71.52,81.32,178.14,178.14,131.04,circle,label,label,2,0.7,0.7,0,50,50,40,0,none,byOceanAge,black,black
16045,16045,16003,50,50,40,102,102,133,76.29,76.29,68.81,171.87,171.87,-106.86,circle,label,circle,2,0.7,2,0,50,50,40,0,none,byOceanAge,black,byOceanAge
16046,16046,16003,50,50,40,102,102,133,64.75,64.75,68.81,-175.55,-175.55,-106.86,circle,label,label,2,0.7,0.7,0,50,50,40,0,none,byOceanAge,black,black
16048,16048,16004,50,50,40,101,101,101,71.59,71.59,72.29,73.19,73.19,-165.78,circle,label,circle,2,0.7,2,0,50,50,40,0,none,byOceanAge,black,byOceanAge
16072,16072,16004,60,60,40,101,101,101,81.26,81.26,72.29,171.22,171.22,-165.78,circle,label,label,2,0.7,0.7,0,60,60,40,0,none,byOceanAge,black,black
16074,16074,16025,60,60,50,106,106,102,72.82,72.82,71.81,-121.47,-121.47,-174.7,circle,label,circle,2,0.7,2,0,60,60,50,0,none,byOceanAge,black,byOceanAge
16075,16075,16025,60,60,50,101,101,102,86.58,86.58,71.81,87.7,87.7,-174.7,circle,label,label,2,0.7,0.7,0,60,60,50,0,none,byOceanAge,black,black
16076,16076,16038,60,60,50,133,133,102,78.31,78.31,71.06,112.85,112.85,169.77,circle,label,circle,2,0.7,2,0,60,60,50,0,none,byOceanAge,black,byOceanAge
16084,16084,16038,60,60,50,102,102,102,65.47,65.47,71.06,-132.42,-132.42,169.77,circle,label,label,2,0.7,0.7,0,60,60,50,0,none,byOceanAge,black,black
16092,16092,16039,60,60,50,102,102,102,77.37,77.37,78.48,108.39,108.39,174.65,circle,label,circle,2,0.7,2,0,60,60,50,0,none,byOceanAge,black,byOceanAge
16095,16095,16039,60,60,50,101,101,102,85.65,85.65,78.48,77.43,77.43,174.65,circle,label,label,2,0.7,0.7,0,60,60,50,0,none,byOceanAge,black,black
16101,16101,16044,60,60,50,134,134,102,87.61,87.61,71.52,-154.82,-154.82,178.14,circle,label,circle,2,0.7,2,0,60,60,50,0,none,byOceanAge,black,byOceanAge
16138,16138,16044,70,70,50,132,132,102,78.83,78.83,71.52,-55.86,-55.86,178.14,circle,label,label,2,0.7,0.7,0,70,70,50,0,none,byOceanAge,black,black
16150,16150,16045,70,70,50,133,133,102,77.58,77.58,76.29,-153.69,-153.69,171.87,circle,label,circle,2,0.7,2,0,70,70,50,0,none,byOceanAge,black,byOceanAge
16152,16152,16045,70,70,50,101,101,102,82.76,82.76,76.29,-128.69,-128.69,171.87,circle,label,label,2,0.7,0.7,0,70,70,50,0,none,byOceanAge,black,black
16161,16161,16046,70,70,50,101,101,102,76.08,76.08,64.75,-170.53,-170.53,-175.55,circle,label,circle,2,0.7,2,0,70,70,50,0,none,byOceanAge,black,byOceanAge
16231,16231,16046,90,90,50,101,101,102,86.6,86.6,64.75,-167.52,-167.52,-175.55,circle,label,label,2,0.7,0.7,0,90,90,50,0,none,byOceanAge,black,black
16286,16286,16048,90,90,50,106,106,101,82.52,82.52,71.59,-110.32,-110.32,73.19,circle,label,circle,2,0.7,2,0,90,90,50,0,none,byOceanAge,black,byOceanAge
16244,16244,16048,100,100,50,101,101,101,82.47,82.47,71.59,-84.54,-84.54,73.19,circle,label,label,2,0.7,0.7,0,100,100,50,0,none,byOceanAge,black,black
16306,16306,16072,100,100,60,101,101,101,83.92,83.92,81.26,-147.52,-147.52,171.22,circle,label,circle,2,0.7,2,0,100,100,60,0,none,byOceanAge,black,byOceanAge
16307,16307,16072,120,120,60,106,106,101,73.09,73.09,81.26,-69.78,-69.78,171.22,circle,label,label,2,0.7,0.7,0,120,120,60,0,none,byOceanAge,black,black
16319,16319,16074,120,120,60,101,101,106,68.79,68.79,72.82,-90.38,-90.38,-121.47,circle,label,circle,2,0.7,2,0,120,120,60,0,none,byOceanAge,black,byOceanAge
16342,16342,16074,120,120,60,101,101,106,72.7,72.7,72.82,-80.09,-80.09,-121.47,circle,label,label,2,0.7,0.7,0,120,120,60,0,none,byOceanAge,black,black
16334,16334,16075,130,130,60,101,101,101,79.45,79.45,86.58,-96.28,-96.28,87.7,circle,label,circle,2,0.7,2,0,130,130,60,0,none,byOceanAge,black,byOceanAge
16376,16376,16075,150,150,60,134,134,101,71.9,71.9,86.58,172.54,172.54,87.7,circle,label,label,2,0.7,0.7,0,150,150,60,0,none,byOceanAge,black,black
16382,16382,16076,150,150,60,101,101,133,83.06,83.06,78.31,-161.67,-161.67,112.85,circle,label,circle,2,0.7,2,0,150,150,60,0,none,byOceanAge,black,byOceanAge
16409,16409,16076,150,150,60,101,101,133,85.36,85.36,78.31,-93.3,-93.3,112.85,circle,label,label,2,0.7,0.7,0,150,150,60,0,none,byOceanAge,black,black
16435,16435,16084,160,160,60,133,133,102,75.5,75.5,65.47,142.63,142.63,-132.42,circle,label,circle,2,0.7,2,0,160,160,60,0,none,byOceanAge,black,byOceanAge
16437,16437,16084,160,160,60,108,108,102,76.17,76.17,65.47,123.46,123.46,-132.42,circle,label,label,2,0.7,0.7,0,160,160,60,0,none,byOceanAge,black,black
16439,16439,16092,160,160,60,102,102,102,78.04,78.04,77.37,-74.73,-74.73,108.39,circle,label,circle,2,0.7,2,0,160,160,60,0,none,byOceanAge,black,byOceanAge
16445,16445,16092,160,160,60,102,102,102,70.2,70.2,77.37,-142.06,-142.06,108.39,circle,label,label,2,0.7,0.7,0,160,160,60,0,none,byOceanAge,black,black
16483,16483,16095,170,170,60,101,101,101,82.22,82.22,85.65,73.8,73.8,77.43,circle,label,circle,2,0.7,2,0,170,170,60,0,none,byOceanAge,black,byOceanAge
16497,16497,16095,170,170,60,133,133,101,69.38,69.38,85.65,115.91,115.91,77.43,circle,label,label,2,0.7,0.7,0,170,170,60,0,none,byOceanAge,black,black
16527,16527,16101,170,170,60,101,101,134,65.41,65.41,87.61,17.67,17.67,-154.82,circle,label,circle,2,0.7,2,0,170,170,60,0,none,byOceanAge,black,byOceanAge
16516,16516,16101,180,180,60,101,101,134,83.77,83.77,87.61,84.17,84.17,-154.82,circle,label,label,2,0.7,0.7,0,180,180,60,0,none,byOceanAge,black,black
16526,16526,16138,180,180,70,109,109,132,78.06,78.06,78.83,112.34,112.34,-55.86,circle,label,circle,2,0.7,2,0,180,180,70,0,none,byOceanAge,black,byOceanAge
16528,16528,16138,180,180,70,101,101,132,76.17,76.17,78.83,125.38,125.38,-55.86,circle,label,label,2,0.7,0.7,0,180,180,70,0,none,byOceanAge,black,black
16529,16529,16150,180,180,70,101,101,133,78.09,78.09,77.58,161.58,161.58,-153.69,circle,label,circle,2,0.7,2,0,180,180,70,0,none,byOceanAge,black,byOceanAge
16530,16530,16150,180,180,70,134,134,133,81.83,81.83,77.58,68.53,68.53,-153.69,circle,label,label,2,0.7,0.7,0,180,180,70,0,none,byOceanAge,black,black
16531,16531,16152,180,180,70,101,101,101,77.41,77.41,82.76,116.4,116.4,-128.69,circle,label,circle,2,0.7,2,0,180,180,70,0,none,byOceanAge,black,byOceanAge
16540,16540,16152,180,180,70,101,101,101,68.27,68.27,82.76,130.79,130.79,-128.69,circle,label,label,2,0.7,0.7,0,180,180,70,0,none,byOceanAge,black,black
16545,16545,16161,180,180,70,108,108,101,74.76,74.76,76.08,86.51,86.51,-170.53,circle,label,circle,2,0.7,2,0,180,180,70,0,none,byOceanAge,black,byOceanAge
16546,16546,16161,180,180,70,109,109,101,67.15,67.15,76.08,81.13,81.13,-170.53,circle,label,label,2,0.7,0.7,0,180,180,70,0,none,byOceanAge,black,black
16557,16557,16231,190,190,90,101,101,101,77.89,77.89,86.6,176.61,176.61,-167.52,circle,label,circle,2,0.7,2,0,190,190,90,0,none,byOceanAge,black,byOceanAge
16559,16559,16231,190,190,90,133,133,101,67.73,67.73,86.6,78.51,78.51,-167.52,circle,label,label,2,0.7,0.7,0,190,190,90,0,none,byOceanAge,black,black
16560,16560,16286,190,190,90,132,132,106,73.4,73.4,82.52,102.54,102.54,-110.32,circle,label,circle,2,0.7,2,0,190,190,90,0,none,byOceanAge,black,byOceanAge
16570,16570,16286,200,200,90,101,101,106,81.95,81.95,82.52,156.63,156.63,-110.32,circle,label,label,2,0.7,0.7,0,200,200,90,0,none,byOceanAge,black,black
16572,16572,16244,200,200,100,101,101,101,63.94,63.94,82.47,81.94,81.94,-84.54,circle,label,circle,2,0.7,2,0,200,200,100,0,none,byOceanAge,black,byOceanAge
16573,16573,16244,200,200,100,101,101,101,76.54,76.54,82.47,-146.9,-146.9,-84.54,circle,label,label,2,0.7,0.7,0,200,200,100,0,none,byOceanAge,black,black
16575,16575,16306,200,200,100,132,132,101,79.29,79.29,83.92,95.49,95.49,-147.52,circle,label,circle,2,0.7,2,0,200,200,100,0,none,byOceanAge,black,byOceanAge
16576,16576,16306,200,200,100,101,101,101,77.48,77.48,83.92,123.83,123.83,-147.52,circle,label,label,2,0.7,0.7,0,200,200,100,0,none,byOceanAge,black,black
16579,16579,16307,200,200,120,101,101,106,80.04,80.04,73.09,149.29,149.29,-69.78,circle,label,circle,2,0.7,2,0,200,200,120,0,none,byOceanAge,black,byOceanAge
16587,16587,16307,200,200,120,131,131,106,82.15,82.15,73.09,2.94,2.94,-69.78,circle,label,label,2,0.7,0.7,0,200,200,120,0,none,byOceanAge,black,black
16585,16585,16319,210,210,120,101,101,101,75.2,75.2,68.79,178.98,178.98,-90.38,circle,label,circle,2,0.7,2,0,210,210,120,0,none,byOceanAge,black,byOceanAge
16586,16586,16319,210,210,120,101,101,101,71.65,71.65,68.79,147.58,147.58,-90.38,circle,label,label,2,0.7,0.7,0,210,210,120,0,none,byOceanAge,black,black
16596,16596,16342,210,210,120,101,101,101,70.57,70.57,72.7,153.6,153.6,-80.09,circle,label,circle,2,0.7,2,0,210,210,120,0,none,byOceanAge,black,byOceanAge
16600,16600,16342,210,210,120,108,108,101,67.22,67.22,72.7,162.22,162.22,-80.09,circle,label,label,2,0.7,0.7,0,210,210,120,0,none,byOceanAge,black,black
16602,16602,16334,220,220,130,133,133,101,85.79,85.79,79.45,95.95,95.95,-96.28,circle,label,circle,2,0.7,2,0,220,220,130,0,none,byOceanAge,black,byOceanAge
16609,16609,16334,220,220,130,101,101,101,74.07,74.07,79.45,162.88,162.88,-96.28,circle,label,label,2,0.7,0.7,0,220,220,130,0,none,byOceanAge,black,black
16635,16635,16376,220,220,150,102,102,134,62.9,62.9,71.9,139.53,139.53,172.54,circle,label,circle,2,0.7,2,0,220,220,150,0,none,byOceanAge,black,byOceanAge
16641,16641,16376,220,220,150,133,133,134,82.31,82.31,71.9,149.44,149.44,172.54,circle,label,label,2,0.7,0.7,0,220,220,150,0,none,byOceanAge,black,black
16647,16647,16382,230,230,150,133,133,101,83.32,83.32,83.06,160.4,160.4,-161.67,circle,label,circle,2,0.7,2,0,230,230,150,0,none,byOceanAge,black,byOceanAge
16652,16652,16382,230,230,150,101,101,101,88.31,88.31,83.06,55.77,55.77,-161.67,circle,label,label,2,0.7,0.7,0,230,230,150,0,none,byOceanAge,black,black
16653,16653,16409,230,230,150,133,133,101,81.32,81.32,85.36,160.35,160.35,-93.3,circle,label,circle,2,0.7,2,0,230,230,150,0,none,byOceanAge,black,byOceanAge
16682,16682,16409,230,230,150,133,133,101,87.23,87.23,85.36,12.31,12.31,-93.3,circle,label,label,2,0.7,0.7,0,230,230,150,0,none,byOceanAge,black,black
16667,16667,16435,240,240,160,133,133,133,86.77,86.77,75.5,-161.29,-161.29,142.63,circle,label,circle,2,0.7,2,0,240,240,160,0,none,byOceanAge,black,byOceanAge
16668,16668,16435,240,240,160,133,133,133,84.66,84.66,75.5,-164.36,-164.36,142.63,circle,label,label,2,0.7,0.7,0,240,240,160,0,none,byOceanAge,black,black
16683,16683,16437,240,240,160,133,133,108,79.18,79.18,76.17,33.15,33.15,123.46,circle,label,circle,2,0.7,2,0,240,240,160,0,none,byOceanAge,black,byOceanAge
16684,16684,16437,240,240,160,133,133,108,82.61,82.61,76.17,32.2,32.2,123.46,circle,label,label,2,0.7,0.7,0,240,240,160,0,none,byOceanAge,black,black
16685,16685,16439,240,240,160,133,133,102,80.04,80.04,78.04,29.42,29.42,-74.73,circle,label,circle,2,0.7,2,0,240,240,160,0,none,byOceanAge,black,byOceanAge
16686,16686,16439,240,240,160,133,133,102,79.72,79.72,78.04,23.21,23.21,-74.73,circle,label,label,2,0.7,0.7,0,240,240,160,0,none,byOceanAge,black,black
,,16445,,,160,,,102,,,70.2,,,-142.06,,,circle,,,2,0,,,160,1,none,,,byOceanAge
,,16445,,,160,,,102,,,70.2,,,-142.06,,,label,,,0.7,0,,,160,2,none,,,black
,,16483,,,170,,,101,,,82.22,,,73.8,,,circle,,,2,0,,,170,3,none,,,byOceanAge
,,16483,,,170,,,101,,,82.22,,,73.8,,,label,,,0.7,0,,,170,4,none,,,black
,,16497,,,170,,,133,,,69.38,,,115.91,,,circle,,,2,0,,,170,5,none,,,byOceanAge
,,16497,,,170,,,133,,,69.38,,,115.91,,,label,,,0.7,0,,,170,6,none,,,black
,,16527,,,170,,,101,,,65.41,,,17.67,,,circle,,,2,0,,,170,7,none,,,byOceanAge
,,16527,,,170,,,101,,,65.41,,,17.67,,,label,,,0.7,0,,,170,8,none,,,black
