Total URN,Total Label,Total PlateID,Total Rlat,Total Rlon,Total Symbol,Total size,azimuth,Total Start,end,border color,Total fill color
15955,30,101,86.03,88.82,circle,2,0,30,0,none,byOceanAge
15955,30,101,86.03,88.82,label,0.7,0,30,0,none,black
15960,30,101,83.13,-137.35,circle,2,0,30,0,none,byOceanAge
15960,30,101,83.13,-137.35,label,0.7,0,30,0,none,black
15966,40,101,85.43,104.69,circle,2,0,40,0,none,byOceanAge
15966,40,101,85.43,104.69,label,0.7,0,40,0,none,black
15973,40,101,83.91,29.9,circle,2,0,40,0,none,byOceanAge
15973,40,101,83.91,29.9,label,0.7,0,40,0,none,black
15974,40,101,86.44,-40.55,circle,2,0,40,0,none,byOceanAge
15974,40,101,86.44,-40.55,label,0.7,0,40,0,none,black
15975,40,101,81.32,131.04,circle,2,0,40,0,none,byOceanAge
15975,40,101,81.32,131.04,label,0.7,0,40,0,none,black
16003,40,133,68.81,-106.86,circle,2,0,40,0,none,byOceanAge
16003,40,133,68.81,-106.86,label,0.7,0,40,0,none,black
16004,40,101,72.29,-165.78,circle,2,0,40,0,none,byOceanAge
16004,40,101,72.29,-165.78,label,0.7,0,40,0,none,black
16025,50,102,71.81,-174.7,circle,2,0,50,0,none,byOceanAge
16025,50,102,71.81,-174.7,label,0.7,0,50,0,none,black
16038,50,102,71.06,169.77,circle,2,0,50,0,none,byOceanAge
16038,50,102,71.06,169.77,label,0.7,0,50,0,none,black
16039,50,102,78.48,174.65,circle,2,0,50,0,none,byOceanAge
16039,50,102,78.48,174.65,label,0.7,0,50,0,none,black
16044,50,102,71.52,178.14,circle,2,0,50,0,none,byOceanAge
16044,50,102,71.52,178.14,label,0.7,0,50,0,none,black
16045,50,102,76.29,171.87,circle,2,0,50,0,none,byOceanAge
16045,50,102,76.29,171.87,label,0.7,0,50,0,none,black
16046,50,102,64.75,-175.55,circle,2,0,50,0,none,byOceanAge
16046,50,102,64.75,-175.55,label,0.7,0,50,0,none,black
16048,50,101,71.59,73.19,circle,2,0,50,0,none,byOceanAge
16048,50,101,71.59,73.19,label,0.7,0,50,0,none,black
16072,60,101,81.26,171.22,circle,2,0,60,0,none,byOceanAge
