URN,Label,PlateID,RLat,RLon,symbol,size,azimuth,start,end,border color,fill color
15955,30,101,86.03,88.82,label,0.7,0,0,0,black,black
15960,30,101,83.13,-137.35,label,0.7,0,0,0,black,black
15966,40,101,85.43,104.69,label,0.7,0,0,0,black,black
15973,40,101,83.91,29.9,label,0.7,0,0,0,black,black
15974,40,101,86.44,-40.55,label,0.7,0,0,0,black,black
15975,40,101,81.32,131.04,label,0.7,0,0,0,black,black
16003,40,133,68.81,-106.86,label,0.7,0,0,0,black,black
16004,40,101,72.29,-165.78,label,0.7,0,0,0,black,black
16025,50,102,71.81,-174.7,label,0.7,0,0,0,black,black
16038,50,102,71.06,169.77,label,0.7,0,0,0,black,black
16039,50,102,78.48,174.65,label,0.7,0,0,0,black,black
16044,50,102,71.52,178.14,label,0.7,0,0,0,black,black
16045,50,102,76.29,171.87,label,0.7,0,0,0,black,black
16046,50,102,64.75,-175.55,label,0.7,0,0,0,black,black
16048,50,101,71.59,73.19,label,0.7,0,0,0,black,black
16072,60,101,81.26,171.22,label,0.7,0,0,0,black,black
16074,60,106,72.82,-121.47,label,0.7,0,0,0,black,black
16075,60,101,86.58,87.7,label,0.7,0,0,0,black,black
16076,60,133,78.31,112.85,label,0.7,0,0,0,black,black
16084,60,102,65.47,-132.42,label,0.7,0,0,0,black,black
16092,60,102,77.37,108.39,label,0.7,0,0,0,black,black
16095,60,101,85.65,77.43,label,0.7,0,0,0,black,black
16101,60,134,87.61,-154.82,label,0.7,0,0,0,black,black
16138,70,132,78.83,-55.86,label,0.7,0,0,0,black,black
16150,70,133,77.58,-153.69,label,0.7,0,0,0,black,black
16152,70,101,82.76,-128.69,label,0.7,0,0,0,black,black
16161,70,101,76.08,-170.53,label,0.7,0,0,0,black,black
16231,90,101,86.6,-167.52,label,0.7,0,0,0,black,black
16286,90,106,82.52,-110.32,label,0.7,0,0,0,black,black
16244,100,101,82.47,-84.54,label,0.7,0,0,0,black,black
16306,100,101,83.92,-147.52,label,0.7,0,0,0,black,black
16307,120,106,73.09,-69.78,label,0.7,0,0,0,black,black
16319,120,101,68.79,-90.38,label,0.7,0,0,0,black,black
16342,120,101,72.7,-80.09,label,0.7,0,0,0,black,black
16334,130,101,79.45,-96.28,label,0.7,0,0,0,black,black
16376,150,134,71.9,172.54,label,0.7,0,0,0,black,black
16382,150,101,83.06,-161.67,label,0.7,0,0,0,black,black
16409,150,101,85.36,-93.3,label,0.7,0,0,0,black,black
16435,160,133,75.5,142.63,label,0.7,0,0,0,black,black
16437,160,108,76.17,123.46,label,0.7,0,0,0,black,black
16439,160,102,78.04,-74.73,label,0.7,0,0,0,black,black
16445,160,102,70.2,-142.06,label,0.7,0,0,0,black,black
16483,170,101,82.22,73.8,label,0.7,0,0,0,black,black
16497,170,133,69.38,115.91,label,0.7,0,0,0,black,black
16527,170,101,65.41,17.67,label,0.7,0,0,0,black,black
16516,180,101,83.77,84.17,label,0.7,0,0,0,black,black
16526,180,109,78.06,112.34,label,0.7,0,0,0,black,black
16528,180,101,76.17,125.38,label,0.7,0,0,0,black,black
16529,180,101,78.09,161.58,label,0.7,0,0,0,black,black
16530,180,134,81.83,68.53,label,0.7,0,0,0,black,black
16531,180,101,77.41,116.4,label,0.7,0,0,0,black,black
16540,180,101,68.27,130.79,label,0.7,0,0,0,black,black
16545,180,108,74.76,86.51,label,0.7,0,0,0,black,black
16546,180,109,67.15,81.13,label,0.7,0,0,0,black,black
16557,190,101,77.89,176.61,label,0.7,0,0,0,black,black
16559,190,133,67.73,78.51,label,0.7,0,0,0,black,black
16560,190,132,73.4,102.54,label,0.7,0,0,0,black,black
16570,200,101,81.95,156.63,label,0.7,0,0,0,black,black
16572,200,101,63.94,81.94,label,0.7,0,0,0,black,black
16573,200,101,76.54,-146.9,label,0.7,0,0,0,black,black
16575,200,132,79.29,95.49,label,0.7,0,0,0,black,black
16576,200,101,77.48,123.83,label,0.7,0,0,0,black,black
16579,200,101,80.04,149.29,label,0.7,0,0,0,black,black
16587,200,131,82.15,2.94,label,0.7,0,0,0,black,black
16585,210,101,75.2,178.98,label,0.7,0,0,0,black,black
16586,210,101,71.65,147.58,label,0.7,0,0,0,black,black
16596,210,101,70.57,153.6,label,0.7,0,0,0,black,black
16600,210,108,67.22,162.22,label,0.7,0,0,0,black,black
16602,220,133,85.79,95.95,label,0.7,0,0,0,black,black
16609,220,101,74.07,162.88,label,0.7,0,0,0,black,black
16635,220,102,62.9,139.53,label,0.7,0,0,0,black,black
16641,220,133,82.31,149.44,label,0.7,0,0,0,black,black
16647,230,133,83.32,160.4,label,0.7,0,0,0,black,black
16652,230,101,88.31,55.77,label,0.7,0,0,0,black,black
16653,230,133,81.32,160.35,label,0.7,0,0,0,black,black
16682,230,133,87.23,12.31,label,0.7,0,0,0,black,black
16667,240,133,86.77,-161.29,label,0.7,0,0,0,black,black
16668,240,133,84.66,-164.36,label,0.7,0,0,0,black,black
16683,240,133,79.18,33.15,label,0.7,0,0,0,black,black
16684,240,133,82.61,32.2,label,0.7,0,0,0,black,black
16685,240,133,80.04,29.42,label,0.7,0,0,0,black,black
16686,240,133,79.72,23.21,label,0.7,0,0,0,black,black
