URN,Label,PlateID,RLat,RLon,symbol,size,azimuth,start,end,border color,fill color,alpha
15955,30,101,86.03,88.82,circle,2,0,30,0,none,byOceanAge,1
15960,30,101,83.13,-137.35,circle,2,0,30,0,none,byOceanAge,1
15966,40,101,85.43,104.69,circle,2,0,40,0,none,byOceanAge,1
15973,40,101,83.91,29.9,circle,2,0,40,0,none,byOceanAge,1
15974,40,101,86.44,-40.55,circle,2,0,40,0,none,byOceanAge,1
15975,40,101,81.32,131.04,circle,2,0,40,0,none,byOceanAge,1
16003,40,133,68.81,-106.86,circle,2,0,40,0,none,byOceanAge,1
16004,40,101,72.29,-165.78,circle,2,0,40,0,none,byOceanAge,1
16025,50,102,71.81,-174.7,circle,2,0,50,0,none,byOceanAge,1
16038,50,102,71.06,169.77,circle,2,0,50,0,none,byOceanAge,1
16039,50,102,78.48,174.65,circle,2,0,50,0,none,byOceanAge,1
16044,50,102,71.52,178.14,circle,2,0,50,0,none,byOceanAge,1
16045,50,102,76.29,171.87,circle,2,0,50,0,none,byOceanAge,1
16046,50,102,64.75,-175.55,circle,2,0,50,0,none,byOceanAge,1
16048,50,101,71.59,73.19,circle,2,0,50,0,none,byOceanAge,1
16072,60,101,81.26,171.22,circle,2,0,60,0,none,byOceanAge,1
16074,60,106,72.82,-121.47,circle,2,0,60,0,none,byOceanAge,1
16075,60,101,86.58,87.7,circle,2,0,60,0,none,byOceanAge,1
16076,60,133,78.31,112.85,circle,2,0,60,0,none,byOceanAge,1
16084,60,102,65.47,-132.42,circle,2,0,60,0,none,byOceanAge,1
16092,60,102,77.37,108.39,circle,2,0,60,0,none,byOceanAge,1
16095,60,101,85.65,77.43,circle,2,0,60,0,none,byOceanAge,1
16101,60,134,87.61,-154.82,circle,2,0,60,0,none,byOceanAge,1
16138,70,132,78.83,-55.86,circle,2,0,70,0,none,byOceanAge,1
16150,70,133,77.58,-153.69,circle,2,0,70,0,none,byOceanAge,1
16152,70,101,82.76,-128.69,circle,2,0,70,0,none,byOceanAge,1
16161,70,101,76.08,-170.53,circle,2,0,70,0,none,byOceanAge,1
16231,90,101,86.6,-167.52,circle,2,0,90,0,none,byOceanAge,1
16286,90,106,82.52,-110.32,circle,2,0,90,0,none,byOceanAge,1
16244,100,101,82.47,-84.54,circle,2,0,100,0,none,byOceanAge,1
16306,100,101,83.92,-147.52,circle,2,0,100,0,none,byOceanAge,1
16307,120,106,73.09,-69.78,circle,2,0,120,0,none,byOceanAge,1
16319,120,101,68.79,-90.38,circle,2,0,120,0,none,byOceanAge,1
16342,120,101,72.7,-80.09,circle,2,0,120,0,none,byOceanAge,1
16334,130,101,79.45,-96.28,circle,2,0,130,0,none,byOceanAge,1
16376,150,134,71.9,172.54,circle,2,0,150,0,none,byOceanAge,1
16382,150,101,83.06,-161.67,circle,2,0,150,0,none,byOceanAge,1
16409,150,101,85.36,-93.3,circle,2,0,150,0,none,byOceanAge,1
16435,160,133,75.5,142.63,circle,2,0,160,0,none,byOceanAge,1
