URN,label,plateID,latitude,longitude,symbol,size,azi,Old ,Young,line,fill,alpha
2,Kentucky E,101,38,-85.5,star,3,0,420,390,black,black,1
3,Ohio E,101,40,-83,star,3,0,420,390,black,black,1
4,Michigan E,101,43,-83.5,star,3,0,420,390,black,black,1
5,S Ontario E,101,40,-81,star,3,0,420,390,black,black,1
6,New York L  E,101,43,-76,star,3,0,420,390,black,black,1
10,Nevada E,131,39,-117,star,3,0,420,390,black,black,1
14,E Alaska E,121,65,-150.5,star,3,0,420,390,black,black,1
15,Arctic Canada L. E,103,75,-100,star,3,0,420,390,black,black,1
18,Kolyma Basin E,401,59.57,150.83,star,3,0,420,390,black,black,1
19,Ulachan-Sis Range P  E,401,70.45,70.5,star,3,0,420,390,black,black,1
20,NE Siberia L  E,301,62,62,star,3,0,420,390,black,black,1
21,SW Siberia L  E,301,57,57,star,3,0,420,390,black,black,1
25,Kuznetsk Basin L  E,401,54.33,86,star,3,0,420,390,black,black,1
31,S Spain E,304,37,-5,star,3,0,420,390,black,black,1
32,N Spain L  P  E,304,43,-5,star,3,0,420,390,black,black,1
34,Czech Republic P  E,305,50,15,star,3,0,420,390,black,black,1
35,Austria E,307,47.5,15,star,3,0,420,390,black,black,1
36,Afghanistan E,507,32.5,62.5,star,3,0,420,390,black,black,1
37,Vietnam P  E,615,15,107,star,3,0,420,390,black,black,1
39,Guangxi E,611,23,108,star,3,0,420,390,black,black,1
41,Inner Mongolia E,604,41,110,star,3,0,420,390,black,black,1
42,N Queensland L  E,801,-20,145,star,3,0,420,390,black,black,1
43,New South Wales L  P  E,801,-33,148,star,3,0,420,390,black,black,1
44,Victoria P  E,801,-37,145,star,3,0,420,390,black,black,1
