URN,Label,PlateID,latitude,longitude,Symbol,Size,Azimuth,start_time,end_time,Border Color,Fill Color
9,Basalt,134,34.5,-115.8,circle,1.5,0,0,0,none,byGeoAge
10,Basalt,134,34.7,-116.4,circle,1.5,0,0,0,none,byGeoAge
390,Basalt,709,12.1,46.1,circle,1.5,0,0,0,none,byGeoAge
391,Basalt,709,12,45,circle,1.5,0,0,0,none,byGeoAge
392,Basalt,709,12,43.9,circle,1.5,0,0,0,none,byGeoAge
395,Basalt,628,49.3,122.3,circle,1.5,0,0,0,none,byGeoAge
399,Basalt,628,49.8,123.9,circle,1.5,0,0,0,none,byGeoAge
401,Basalt,628,49.4,122.9,circle,1.5,0,0,0,none,byGeoAge
403,Basalt,628,49.5,124.2,circle,1.5,0,0,0,none,byGeoAge
411,Basalt,628,50,123.5,circle,1.5,0,0,0,none,byGeoAge
418,Basalt,628,49.3,123.5,circle,1.5,0,0,0,none,byGeoAge
420,Basalt,628,48.8,123.9,circle,1.5,0,0,0,none,byGeoAge
1099,Basalt,406,63.6,-162.6,circle,1.5,0,0,0,none,byGeoAge
1102,Basalt,134,35.2,-115.8,circle,1.5,0,0,0,none,byGeoAge
1125,Basalt,802,-77.5,167.1,circle,1.5,0,0,0,none,byGeoAge
1169,Basalt,628,44.5,103.7,circle,1.5,0,0,0,none,byGeoAge
1170,Basalt,628,45.9,114,circle,1.5,0,0,0,none,byGeoAge
1171,Basalt,401,51.3,99.2,circle,1.5,0,0,0,none,byGeoAge
1172,Basalt,628,45.6,115,circle,1.5,0,0,0,none,byGeoAge
1173,Basalt,628,45.5,113.5,circle,1.5,0,0,0,none,byGeoAge
1174,Basalt,628,43.5,103.2,circle,1.5,0,0,0,none,byGeoAge
1175,Basalt,628,46.3,115,circle,1.5,0,0,0,none,byGeoAge
1176,Basalt,628,45,114,circle,1.5,0,0,0,none,byGeoAge
1177,Basalt,401,44.8,101,circle,1.5,0,0,0,none,byGeoAge
1178,Basalt,204,16,-86.5,circle,1.5,0,0,0,none,byGeoAge
1453,Basalt,503,32.9,35.8,circle,1.5,0,0,0,none,byGeoAge
1454,Basalt,503,33.3,36.1,circle,1.5,0,0,0,none,byGeoAge
1455,Basalt,503,32.9,36.3,circle,1.5,0,0,0,none,byGeoAge
1456,Basalt,503,32.5,36.6,circle,1.5,0,0,0,none,byGeoAge
1457,Basalt,503,33.5,36.7,circle,1.5,0,0,0,none,byGeoAge
1458,Basalt,503,33.1,36.8,circle,1.5,0,0,0,none,byGeoAge
1459,Basalt,503,33,37.3,circle,1.5,0,0,0,none,byGeoAge
1460,Basalt,503,33.5,37.4,circle,1.5,0,0,0,none,byGeoAge
2070,Basalt,135,18.6,-95.2,circle,1.5,0,0,0,none,byGeoAge
2185,Basalt,503,18.3,41.4,circle,1.5,0,0,0,none,byGeoAge
2196,Basalt,932,-56.3,-27.6,circle,1.5,0,0,0,none,byGeoAge
2197,Basalt,932,-59.4,-27,circle,1.5,0,0,0,none,byGeoAge
2198,Basalt,932,-59.4,-27.3,circle,1.5,0,0,0,none,byGeoAge
2199,Basalt,932,-57.8,-26.4,circle,1.5,0,0,0,none,byGeoAge
2200,Basalt,932,-57,-26.7,circle,1.5,0,0,0,none,byGeoAge
2201,Basalt,932,-59,-26.5,circle,1.5,0,0,0,none,byGeoAge
2202,Basalt,503,24.5,39.6,circle,1.5,0,0,0,none,byGeoAge
2203,Basalt,616,25.1,98.5,circle,1.5,0,0,0,none,byGeoAge
2204,Basalt,709,13.1,40.7,circle,1.5,0,0,0,none,byGeoAge
2205,Basalt,709,13.8,41.8,circle,1.5,0,0,0,none,byGeoAge
2206,Basalt,709,13.6,40.6,circle,1.5,0,0,0,none,byGeoAge
2207,Basalt,709,12.6,41.3,circle,1.5,0,0,0,none,byGeoAge
2208,Basalt,709,11.7,41.4,circle,1.5,0,0,0,none,byGeoAge
2209,Basalt,716,10.2,40.5,circle,1.5,0,0,0,none,byGeoAge
2210,Basalt,709,11.2,41.2,circle,1.5,0,0,0,none,byGeoAge
2211,Basalt,709,11.6,42.5,circle,1.5,0,0,0,none,byGeoAge
2212,Basalt,709,11.3,41.5,circle,1.5,0,0,0,none,byGeoAge
2213,Basalt,709,11.9,41.1,circle,1.5,0,0,0,none,byGeoAge
2214,Basalt,716,10.7,40.9,circle,1.5,0,0,0,none,byGeoAge
2215,Basalt,503,31.4,35.7,circle,1.5,0,0,0,none,byGeoAge
2251,Basalt,503,25.8,40,circle,1.5,0,0,0,none,byGeoAge
2277,Basalt,132,43.3,-113.9,circle,1.5,0,0,0,none,byGeoAge
2278,Basalt,132,43.5,-112.3,circle,1.5,0,0,0,none,byGeoAge
2279,Basalt,132,43,-114.9,circle,1.5,0,0,0,none,byGeoAge
2280,Basalt,132,43.6,-113.5,circle,1.5,0,0,0,none,byGeoAge
2450,Basalt,503,25.2,37.1,circle,1.5,0,0,0,none,byGeoAge
2451,Basalt,503,25.7,39.7,circle,1.5,0,0,0,none,byGeoAge
2452,Basalt,503,21.8,42.3,circle,1.5,0,0,0,none,byGeoAge
2453,Basalt,503,24.9,40.2,circle,1.5,0,0,0,none,byGeoAge
2454,Basalt,503,18.4,41.6,circle,1.5,0,0,0,none,byGeoAge
2455,Basalt,503,25.3,37.8,circle,1.5,0,0,0,none,byGeoAge
2456,Basalt,503,26,40.4,circle,1.5,0,0,0,none,byGeoAge
2457,Basalt,503,21.4,42.5,circle,1.5,0,0,0,none,byGeoAge
2458,Basalt,503,27.4,37.4,circle,1.5,0,0,0,none,byGeoAge
2459,Basalt,503,24.9,37.8,circle,1.5,0,0,0,none,byGeoAge
2460,Basalt,503,17.9,41.8,circle,1.5,0,0,0,none,byGeoAge
