URN,Label,PlateID,rlat,rlon,Symbol,Size,Azimuth,Time,Time,Border Color,Fill Color,alpha
27663,Gypsum,0,10.54,34.78,triangle,1,0,100,100,black,yellow,1
27695,Gypsum,0,21.06,-48.21,triangle,1,0,100,100,black,yellow,1
27696,Gypsum,0,19.71,-47.17,triangle,1,0,100,100,black,yellow,1
27697,Gypsum,0,21.33,-47.56,triangle,1,0,100,100,black,yellow,1
27700,Gypsum,0,20.45,-47.77,triangle,1,0,100,100,black,yellow,1
27701,Gypsum,0,21.84,-47.04,triangle,1,0,100,100,black,yellow,1
27702,Gypsum,0,22.21,-46.85,triangle,1,0,100,100,black,yellow,1
27710,Gypsum,0,24.08,-47.94,triangle,1,0,100,100,black,yellow,1
27824,Gypsum,0,6.41,28.41,triangle,1,0,100,100,black,yellow,1
27825,Gypsum,0,5.88,28.44,triangle,1,0,100,100,black,yellow,1
27849,Gypsum,0,-43.85,32.65,triangle,1,0,100,100,black,yellow,1
27850,Gypsum,0,-44.93,32.3,triangle,1,0,100,100,black,yellow,1
27851,Gypsum,0,-44.33,32.35,triangle,1,0,100,100,black,yellow,1
27865,Gypsum,0,12.42,-58.24,triangle,1,0,100,100,black,yellow,1
27991,Gypsum,0,15.18,8.47,triangle,1,0,100,100,black,yellow,1
27992,Gypsum,0,14.41,8.22,triangle,1,0,100,100,black,yellow,1
27993,Gypsum,0,13.19,1.38,triangle,1,0,100,100,black,yellow,1
27994,Gypsum,0,16.15,5.94,triangle,1,0,100,100,black,yellow,1
27995,Gypsum,0,16.45,5.31,triangle,1,0,100,100,black,yellow,1
27996,Gypsum,0,18.31,4.77,triangle,1,0,100,100,black,yellow,1
27998,Gypsum,0,15.53,6.93,triangle,1,0,100,100,black,yellow,1
27999,Gypsum,0,15.97,6.53,triangle,1,0,100,100,black,yellow,1
28002,Gypsum,0,17.46,3.82,triangle,1,0,100,100,black,yellow,1
28003,Gypsum,0,16.61,4.17,triangle,1,0,100,100,black,yellow,1
28004,Gypsum,0,17.16,4.08,triangle,1,0,100,100,black,yellow,1
28005,Gypsum,0,17.61,4.33,triangle,1,0,100,100,black,yellow,1
28006,Gypsum,0,16.43,3.08,triangle,1,0,100,100,black,yellow,1
28007,Gypsum,0,16.07,5.18,triangle,1,0,100,100,black,yellow,1
28008,Gypsum,0,15.89,4.75,triangle,1,0,100,100,black,yellow,1
28009,Gypsum,0,15.31,3.62,triangle,1,0,100,100,black,yellow,1
28010,Gypsum,0,15.81,3.05,triangle,1,0,100,100,black,yellow,1
28011,Gypsum,0,15.09,6.33,triangle,1,0,100,100,black,yellow,1
28012,Gypsum,0,13.81,5.35,triangle,1,0,100,100,black,yellow,1
28013,Gypsum,0,12.62,4.12,triangle,1,0,100,100,black,yellow,1
28014,Gypsum,0,12.21,5.11,triangle,1,0,100,100,black,yellow,1
28015,Gypsum,0,11.68,5.13,triangle,1,0,100,100,black,yellow,1
28017,Gypsum,0,12.03,7.11,triangle,1,0,100,100,black,yellow,1
28018,Gypsum,0,13.04,6.5,triangle,1,0,100,100,black,yellow,1
28019,Gypsum,0,12.43,6.12,triangle,1,0,100,100,black,yellow,1
28020,Gypsum,0,13.26,3.77,triangle,1,0,100,100,black,yellow,1
28021,Gypsum,0,12.47,2.94,triangle,1,0,100,100,black,yellow,1
28022,Gypsum,0,13.75,2.9,triangle,1,0,100,100,black,yellow,1
28023,Gypsum,0,14.39,3.87,triangle,1,0,100,100,black,yellow,1
28024,Gypsum,0,13.91,3.7,triangle,1,0,100,100,black,yellow,1
28028,Gypsum,0,12.08,1.86,triangle,1,0,100,100,black,yellow,1
28030,Gypsum,0,17.42,4.91,triangle,1,0,100,100,black,yellow,1
28031,Gypsum,0,14.8,3.54,triangle,1,0,100,100,black,yellow,1
28033,Gypsum,0,16.69,4.56,triangle,1,0,100,100,black,yellow,1
28034,Gypsum,0,15.58,4.09,triangle,1,0,100,100,black,yellow,1
28035,Gypsum,0,16.97,3.37,triangle,1,0,100,100,black,yellow,1
28036,Gypsum,0,14.7,4.53,triangle,1,0,100,100,black,yellow,1
28037,Gypsum,0,13.85,4.9,triangle,1,0,100,100,black,yellow,1
28039,Gypsum,0,13.13,4.85,triangle,1,0,100,100,black,yellow,1
28040,Gypsum,0,12.42,5.46,triangle,1,0,100,100,black,yellow,1
28041,Gypsum,0,13,4.25,triangle,1,0,100,100,black,yellow,1
28042,Gypsum,0,11.95,5.97,triangle,1,0,100,100,black,yellow,1
28043,Gypsum,0,11.52,7.05,triangle,1,0,100,100,black,yellow,1
28044,Gypsum,0,14.34,8.48,triangle,1,0,100,100,black,yellow,1
