URN,Label,PlateID,rlat,rlon,Symbol,Size,Azimuth,Time,Time,Border Color,Fill Color
27659,Granite,0,-37.31,-46.44,square,1.5,0,100,100,none,pink
27660,Granite,0,-39.31,-46.51,square,1.5,0,100,100,none,pink
27661,Granodiorite,0,-37.51,-46.45,circle,1.5,0,100,100,none,silver
27718,Foidite,0,35.62,-35.63,triangle,1.5,0,100,100,none,brown
27719,Granodiorite,0,36.18,-78.77,circle,1.5,0,100,100,none,silver
27720,Granodiorite,0,35.98,-79.26,circle,1.5,0,100,100,none,silver
27721,Granodiorite,0,31.92,-77.02,circle,1.5,0,100,100,none,silver
27723,Granodiorite,0,49.46,-75.17,circle,1.5,0,100,100,none,silver
27724,Granodiorite,0,47.64,-75.99,circle,1.5,0,100,100,none,silver
27725,Granodiorite,0,48.59,-75.08,circle,1.5,0,100,100,none,silver
27727,Granite,0,58.81,-78.48,square,1.5,0,100,100,none,pink
27728,Granite,0,59.34,-79.06,square,1.5,0,100,100,none,pink
27729,Granite,0,59.19,-81.09,square,1.5,0,100,100,none,pink
27730,Granite,0,59.13,-81.56,square,1.5,0,100,100,none,pink
27731,Granite,0,57.71,-79.54,square,1.5,0,100,100,none,pink
27732,Granite,0,57.28,-78.87,square,1.5,0,100,100,none,pink
27733,Granite,0,56.57,-80.17,square,1.5,0,100,100,none,pink
27734,Granite,0,68.06,-81.11,square,1.5,0,100,100,none,pink
27735,Granodiorite,0,55.46,-79.37,circle,1.5,0,100,100,none,silver
27737,Granite,0,54.51,-78.32,square,1.5,0,100,100,none,pink
27738,Granodiorite,0,54.81,-78.73,circle,1.5,0,100,100,none,silver
27739,Granite,0,63.18,-80.73,square,1.5,0,100,100,none,pink
27740,Granite,0,53.57,-79.03,square,1.5,0,100,100,none,pink
27741,Granite,0,53.88,-78.88,square,1.5,0,100,100,none,pink
27742,Granodiorite,0,52.63,-79.69,circle,1.5,0,100,100,none,silver
27744,Granite,0,61.87,-81.28,square,1.5,0,100,100,none,pink
27745,Granodiorite,0,52.95,-85.23,circle,1.5,0,100,100,none,silver
27746,Granodiorite,0,52.49,-83.13,circle,1.5,0,100,100,none,silver
27747,Granodiorite,0,50.09,-85.27,circle,1.5,0,100,100,none,silver
27748,Granodiorite,0,61.25,-81.45,circle,1.5,0,100,100,none,silver
27749,Granite,0,49.5,-79.37,square,1.5,0,100,100,none,pink
27751,Granite,0,47.06,-79.15,square,1.5,0,100,100,none,pink
27752,Granodiorite,0,47.44,-80.96,circle,1.5,0,100,100,none,silver
27754,Granodiorite,0,62.03,-81.62,circle,1.5,0,100,100,none,silver
27755,Granodiorite,0,61.63,-82.87,circle,1.5,0,100,100,none,silver
