URN,label,PlateID,Latitude,Longitude,SymbolorNumber,Size,Azimuth,Start,End,Border color,Fill color
1,NAM,101,54.5,-94,label,1,0,306,-250,black,none
2,GRN,102,76.5,-40,label,1,0,1100,-250,black,none
3,NSL,103,70.5,-166,label,1,0,1100,-250,black,none
4,MEX,104,22.5,-102,label,1,0,1100,-250,black,none
5,BAJ,105,29.5,-115,label,1,0,0,-250,black,none
6,ARC,106,80.5,-98,label,1,0,1100,-250,black,none
7,GBK,107,46.5,-51,label,1,0,1100,-250,black,none
8,WAV,108,47.5,-61,label,1,0,404,-250,black,none
9,FLD,109,32.5,-83,label,1,0,245,-250,black,none
10,ALR,110,85.5,-159,label,1,0,1100,-250,black,none
11,CHP,112,78.5,-165,label,1,0,1100,-250,black,none
12,NWR,113,77.5,-160,label,1,0,1100,-250,black,none
13,LOM,114,87.5,-61,label,1,0,1100,-250,black,none
14,NCK,117,77.5,161,label,1,0,1100,-250,black,none
15,ANG,121,67.5,-155,label,1,0,1100,-250,black,none
16,YTK,123,65.5,-146,label,1,0,1100,-250,black,none
17,CRD,124,50.5,-117,label,1,0,1100,-250,black,none
18,NWG,125,60.5,-155,label,1,0,1100,-250,black,none
19,PEN,126,61.5,-149,label,1,0,1100,-250,black,none
20,STK,127,56.5,-127,label,1,0,1100,-250,black,none
21,SWR,128,52.5,-127,label,1,0,1100,-250,black,none
22,COL,129,46.5,-122,label,1,0,1100,-250,black,none
23,SNV,130,39.5,-121,label,1,0,1100,-250,black,none
24,WBR,131,41.5,-118,label,1,0,1100,-250,black,none
25,EBT,132,42.5,-113,label,1,0,1100,-250,black,none
26,RKY,133,38.5,-109,label,1,0,1100,-250,black,none
27,MOJ,134,32.5,-110,label,1,0,1100,-250,black,none
28,GCS,135,30.5,-96,label,1,0,1100,-250,black,none
29,GOM,137,29.5,-87,label,1,0,1100,-250,black,none
30,CBN,140,78.5,-142,label,1,0,1100,-250,black,none
31,NPB,141,88.5,-160,label,1,0,1100,-250,black,none
32,AMZ,201,-6.5,-60,label,1,0,1100,-250,black,none
33,NAR,202,-28.5,-62,label,1,0,1100,-250,black,none
34,NSA,203,9.5,-75,label,1,0,1100,-250,black,none
35,CHR,204,15.5,-86,label,1,0,47.9,-250,black,none
36,YUC,205,20.5,-90,label,1,0,175,-250,black,none
37,CUB,206,23.5,-80,label,1,0,118.7,-250,black,none
38,CMR,216,20.5,-82,label,1,0,1100,-250,black,none
39,WCB,217,18.5,-84,label,1,0,1100,-250,black,none
40,ECB,218,20.5,-77,label,1,0,1100,-250,black,none
41,RLB,221,18,-80,label,1,0,1100,-250,black,none
42,JAM,222,19.5,-78,label,1,0,79.1,-250,black,none
43,QSN,223,16.5,-77,label,1,0,1100,-250,black,none
44,CRB,224,16.5,-70,label,1,0,1100,-250,black,none
45,PAN,230,9.5,-81,label,1,0,0,-250,black,none
46,PRC,237,20.5,-67,label,1,0,1100,-250,black,none
47,LAN,239,16.5,-61,label,1,0,1100,-250,black,none
48,YTC,251,25.5,-87,label,1,0,1100,-250,black,none
49,HSP,252,20.5,-72,label,1,0,72,-250,black,none
50,AMC,262,-2.5,-63,label,1,0,143.8,-250,black,none
51,SFB,263,-14.5,-46,label,1,0,1100,-250,black,none
52,AAB,264,-18.5,-66,label,1,0,1100,-250,black,none
53,ANA,265,-38.5,-70,label,1,0,1100,-250,black,none
54,RIO,266,-28.5,-60,label,1,0,1100,-250,black,none
55,DON,267,-22,-45,label,1,0,1100,-250,black,none
56,CAR,290,-36.5,-61,label,1,0,1100,-250,black,none
57,SAR,291,-43.5,-68,label,1,0,1100,-250,black,none
58,EUR,301,61.5,30,label,1,0,-75,-250,black,none
59,NHL,303,59.5,-5,label,1,0,235,-250,black,none
60,IBE,304,41.5,-4,label,1,0,0,-250,black,none
61,CEU,305,47.5,1,label,1,0,306,-250,black,none
62,COR,306,41.5,9,label,1,0,0,-250,black,none
63,APU,307,45.5,13,label,1,0,1100,-250,black,none
64,HEL,308,47.5,21,label,1,0,1100,-250,black,none
65,SVL,309,77.5,16,label,1,0,235,-250,black,none
66,BAR,310,79.5,34,label,1,0,235,-250,black,none
67,MDV,313,57.5,-2,label,1,0,1100,-250,black,none
68,EAV,315,54.5,1,label,1,0,458,-250,black,none
69,ERB,317,56.5,-17,label,1,0,255,-250,black,none
70,WRB,318,59.5,-19,label,1,0,1100,-250,black,none
71,MOE,319,45.5,25,label,1,0,1100,-250,black,none
72,BAL,320,40.5,2,label,1,0,1100,-250,black,none
73,ALB,321,39.5,3,label,1,0,1100,-250,black,none
74,BOB,322,46.5,-3.5,label,1,0,1100,-250,black,none
75,MLT,323,36.5,14,label,1,0,1100,-250,black,none
76,FRO,324,63.5,-7,label,1,0,1100,-250,black,none
77,WRG,325,60.5,-12,label,1,0,1100,-250,black,none
78,ERG,326,59.5,-10,label,1,0,1100,-250,black,none
79,VPL,327,65.5,3,label,1,0,1100,-250,black,none
80,CNT,328,45.5,-3,label,1,0,1100,-250,black,none
81,AEG  ,329,40.5,25,label,1,0,1100,-250,black,none
82,CRT,330,36.5,25,label,1,0,1100,-250,black,none
83,CYP,331,37.5,31,label,1,0,1100,-250,black,none
84,PBL,332,53.5,-14,label,1,0,1100,-250,black,none
85,YER,350,83,5,label,1,0,1100,-250,black,none
86,SIB,401,63.5,107,label,1,0,280,-250,black,none
87,KAZ,402,49.5,71,label,1,0,306,-250,black,none
88,OMO,403,66.5,161,label,1,0,70,-250,black,none
89,KOL,405,71.5,147,label,1,0,1100,-250,black,none
90,KAM,406,61.5,-170,label,1,0,1100,-250,black,none
91,DZN,407,44.5,89,label,1,0,1100,-250,black,none
92,VOR,409,81.5,72,label,1,0,1100,-250,black,none
93,OKH,410,53.5,148,label,1,0,1100,-250,black,none
94,ALI,416,53,-180,label,1,0,1100,-250,black,none
95,BER,420,58.5,174,label,1,0,1100,-250,black,none
96,IND,501,24.5,78,label,1,0,0,-250,black,none
97,SRI,502,9.5,80,label,1,0,1100,-250,black,none
98,ARB,503,27.5,45,label,1,0,600,-250,black,none
99,TRK,504,39.5,33,label,1,0,33.5,-250,black,none
100,LUT,505,34.5,56,label,1,0,65,-250,black,none
101,SIS,506,36.5,64,label,1,0,1100,-250,black,none
102,FAR,507,32.5,64,label,1,0,1100,-250,black,none
103,SNI,508,32.5,34,label,1,0,1100,-250,black,none
104,PON,510,41.5,32,label,1,0,1100,-250,black,none
105,BLK,511,44.5,36,label,1,0,1100,-250,black,none
106,SAN,512,38.5,48,label,1,0,195,-250,black,none
107,SCB,513,40.5,51,label,1,0,1100,-250,black,none
108,NCB,514,43.5,55,label,1,0,1100,-250,black,none
109,MAK,515,27.5,61,label,1,0,1100,-250,black,none
110,WHJ,530,28.5,38,label,1,0,600,-250,black,none
111,EHJ,531,25.5,50,label,1,0,600,-250,black,none
112,ERZ,550,41.5,41,label,1,0,1100,-250,black,none
113,TAR,601,40.5,82,label,1,0,1100,-250,black,none
114,QDM,602,38.5,93,label,1,0,1100,-250,black,none
115,OKT,603,28.5,127,label,1,0,1100,-250,black,none
116,NCH,604,40.5,113,label,1,0,306,-250,black,none
117,TWN,605,25.5,121,label,1,0,1100,-250,black,none
118,BAI,606,42.5,95,label,1,0,1100,-250,black,none
119,SCS,607,18.5,114,label,1,0,1100,-250,black,none
120,JAP,609,46.5,141,label,1,0,1100,-250,black,none
121,HOK,610,37.5,137,label,1,0,1100,-250,black,none
122,SCH,611,37.5,137,label,1,0,306,-250,black,none
123,QTN,612,35.5,88,label,1,0,195,-250,black,none
124,LHS,613,31.5,89,label,1,0,1100,-250,black,none
125,SPG,614,34.5,100,label,1,0,1100,-250,black,none
126,ICH,615,15.5,105,label,1,0,1100,-250,black,none
127,SBM,616,10.5,102,label,1,0,216,-250,black,none
128,EAN,618,11.5,95,label,1,0,1100,-250,black,none
129,GOT,619,1.5,104,label,1,0,1100,-250,black,none
130,BRN,620,0.5,112,label,1,0,1100,-250,black,none
131,RDB,621,10.5,112,label,1,0,1100,-250,black,none
132,PAL,622,10.5,120,label,1,0,1100,-250,black,none
133,CEL,623,5.5,122,label,1,0,1100,-250,black,none
134,BRM,624,23.5,93,label,1,0,1100,-250,black,none
135,SJB,626,12.5,93,label,1,0,1100,-250,black,none
136,AMU,628,49.5,123,label,1,0,195,-250,black,none
137,KUR,632,45.5,148,label,1,0,1100,-250,black,none
138,SJP,637,40.5,134,label,1,0,1100,-250,black,none
139,NPV,650,31.5,139,label,1,0,1100,-250,black,none
140,NMR,651,29.5,142,label,1,0,1100,-250,black,none
141,SMR,652,18.5,146,label,1,0,1100,-250,black,none
142,SPV,653,18.5,142,label,1,0,1100,-250,black,none
