URN,label,PlateID,RLat,RLon,symbol,size,azimuth,Appears,Disappears,line,fill
15802,15802 676 1 0,676,86,-30,circle,2,0,1,0,black,byPlateId
15803,15803 615 2 0,615,85,-53,circle,2,0,2,0,black,byPlateId
15804,15804 1046 2 0,1046,84,-39,circle,2,0,2,0,black,byPlateId
15805,15805 611 2 0,611,81,-30,circle,2,0,2,0,black,byPlateId
15820,15820 308 5 2,308,88.18,-24.69,circle,2,0,5,2,black,byPlateId
15826,15826 323 5 4,323,86.01,-16.99,circle,2,0,5,4,black,byPlateId
15811,15811 715 5 1,715,85.93,147.37,circle,2,0,5,1,black,byPlateId
15814,15814 329 5 1,329,85.75,-175.19,circle,2,0,5,1,black,byPlateId
15827,15827 323 5 4,323,84.31,-99.01,circle,2,0,5,4,black,byPlateId
15807,15807 1042 5 0,1042,83,-15,circle,2,0,5,0,black,byPlateId
15808,15808 1600 5 0,1600,83,-33,circle,2,0,5,0,black,byPlateId
15812,15812 605 5 1,605,82.95,-93.01,circle,2,0,5,1,black,byPlateId
15823,15823 330 5 2,330,81.07,-175.87,circle,2,0,5,2,black,byPlateId
15813,15813 329 5 1,329,79.84,170.33,circle,2,0,5,1,black,byPlateId
15815,15815 5012 5 1,5012,79.2,-174.75,circle,2,0,5,1,black,byPlateId
15809,15809 611 5 0,611,78.65,-168.48,circle,2,0,5,0,black,byPlateId
15810,15810 512 5 0,512,77.26,171.56,circle,2,0,5,0,black,byPlateId
15822,15822 308 5 2,308,76.44,69.6,circle,2,0,5,2,black,byPlateId
15821,15821 308 5 2,308,74.67,129.64,circle,2,0,5,2,black,byPlateId
15824,15824 507 5 2,507,74.41,-159.95,circle,2,0,5,2,black,byPlateId
15817,15817 8011 5 2,8011,63.36,41.9,circle,2,0,5,2,black,byPlateId
15819,15819 323 5 2,323,49.72,97.46,circle,2,0,5,2,black,byPlateId
15828,15828 679 6 5,679,46.65,48.94,circle,2,0,6,5,black,byPlateId
15825,15825 305 7 1,305,87.87,-146.61,circle,2,0,7,1,black,byPlateId
15816,15816 615 7 0,615,86,-47,circle,2,0,7,0,black,byPlateId
15834,15834 1616 7 5,1616,72.95,-168.16,circle,2,0,7,5,black,byPlateId
15830,15830 308 11 0,308,87.39,174.97,circle,2,0,11,0,black,byPlateId
15831,15831 305 11 0,305,87.08,-22.59,circle,2,0,11,0,black,byPlateId
15829,15829 301 11 0,301,84,-142,circle,2,0,11,0,black,byPlateId
15836,15836 503 11 1,503,83.71,11.16,circle,2,0,11,1,black,byPlateId
15832,15832 615 12 0,615,87.37,115.99,circle,2,0,12,0,black,byPlateId
15851,15851 1600 12 5,1600,85.82,73.69,circle,2,0,12,5,black,byPlateId
15838,15838 1618 12 1,1618,85.6,-42.27,circle,2,0,12,1,black,byPlateId
15840,15840 1018 12 2,1018,83.86,-97.58,circle,2,0,12,2,black,byPlateId
15839,15839 1018 12 2,1018,83.69,-92.68,circle,2,0,12,2,black,byPlateId
