plateid: 0 0, plat: 0.0, plon: 0.0, pang: 0.0, refplate: 0
plateid: 1 1, plat: 90.0, plon: 0.0, pang: 0.0, refplate: 0
plateid: 101 101, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 102 102, plat: 33.4, plon: 110.27, pang: 10.92, refplate: 0
plateid: 103 103, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 104 104, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 105 105, plat: 77.26, plon: 111.85, pang: 14.87, refplate: 0
plateid: 106 106, plat: 33.41, plon: 111.72, pang: 11.06, refplate: 0
plateid: 107 107, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 108 108, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 109 109, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 110 110, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 111 111, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 112 112, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 113 113, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 114 114, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 115 115, plat: 43.33, plon: 102.14, pang: 10.88, refplate: 0
plateid: 117 117, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 121 121, plat: 43.33, plon: 102.14, pang: 10.88, refplate: 0
plateid: 123 123, plat: 43.33, plon: 102.14, pang: 10.88, refplate: 0
plateid: 124 124, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 125 125, plat: -29.58, plon: 62.13, pang: 17.27, refplate: 0
plateid: 126 126, plat: -29.58, plon: 62.13, pang: 17.27, refplate: 0
plateid: 127 127, plat: 43.33, plon: 102.14, pang: 10.88, refplate: 0
plateid: 128 128, plat: 43.33, plon: 102.31, pang: 10.78, refplate: 0
plateid: 129 129, plat: 72.59, plon: 116.09, pang: 15.82, refplate: 0
plateid: 130 130, plat: 72.59, plon: 116.09, pang: 15.82, refplate: 0
plateid: 131 131, plat: 72.59, plon: 116.09, pang: 15.82, refplate: 0
plateid: 132 132, plat: 65.34, plon: 126.68, pang: 13.55, refplate: 0
plateid: 133 133, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 134 134, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 135 135, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 137 137, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 140 140, plat: 33.41, plon: 111.72, pang: 11.06, refplate: 0
plateid: 141 141, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 190 190, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 191 191, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 192 192, plat: 49.46, plon: 114.19, pang: 11.73, refplate: 0
plateid: 198 198, plat: 13.12, plon: -31.44, pang: 86.2, refplate: 0
plateid: 201 201, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 202 202, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 203 203, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 204 204, plat: -11.33, plon: 101.41, pang: 22.95, refplate: 0
plateid: 205 205, plat: 50.08, plon: 115.55, pang: 12.34, refplate: 0
plateid: 206 206, plat: 47.9, plon: 112.67, pang: 12.21, refplate: 0
plateid: 216 216, plat: 50.08, plon: 115.55, pang: 12.34, refplate: 0
plateid: 217 217, plat: 50.08, plon: 115.55, pang: 12.34, refplate: 0
plateid: 218 218, plat: 10.25, plon: 95.49, pang: 3.77, refplate: 0
plateid: 221 221, plat: -11.47, plon: 101.52, pang: 21.8, refplate: 0
plateid: 222 222, plat: 10.25, plon: 95.49, pang: 3.77, refplate: 0
plateid: 223 223, plat: 10.25, plon: 95.49, pang: 3.77, refplate: 0
plateid: 224 224, plat: 10.25, plon: 95.49, pang: 3.77, refplate: 0
plateid: 230 230, plat: -2.03, plon: 94.17, pang: 14.53, refplate: 0
plateid: 237 237, plat: 10.25, plon: 95.49, pang: 3.77, refplate: 0
plateid: 239 239, plat: 10.25, plon: 95.49, pang: 3.77, refplate: 0
plateid: 251 251, plat: 50.08, plon: 115.55, pang: 12.34, refplate: 0
plateid: 252 252, plat: 10.25, plon: 95.49, pang: 3.77, refplate: 0
plateid: 262 262, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 263 263, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 264 264, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 265 265, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 266 266, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 267 267, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 285 285, plat: 43.7, plon: 123.84, pang: 35.73, refplate: 0
plateid: 290 290, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 291 291, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 301 301, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 303 303, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 304 304, plat: -29.66, plon: 106.99, pang: 5.0, refplate: 0
plateid: 305 305, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 306 306, plat: -42.3, plon: -175.48, pang: 84.44, refplate: 0
plateid: 307 307, plat: -32.41, plon: 140.48, pang: 11.88, refplate: 0
plateid: 308 308, plat: -32.41, plon: 140.48, pang: 11.88, refplate: 0
plateid: 309 309, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 310 310, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 311 311, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 313 313, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 315 315, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 317 317, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 318 318, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 319 319, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 320 320, plat: 32.22, plon: 11.61, pang: 21.14, refplate: 0
plateid: 321 321, plat: -29.66, plon: 106.99, pang: 5.0, refplate: 0
plateid: 322 322, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 323 323, plat: 33.0, plon: -40.8, pang: -12.02, refplate: 0
plateid: 324 324, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 325 325, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 326 326, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 327 327, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 328 328, plat: -29.66, plon: 106.99, pang: 5.0, refplate: 0
plateid: 329 329, plat: -32.41, plon: 140.48, pang: 11.88, refplate: 0
plateid: 330 330, plat: -32.41, plon: 140.48, pang: 11.88, refplate: 0
plateid: 331 331, plat: -35.27, plon: -156.4, pang: 52.27, refplate: 0
plateid: 332 332, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 401 401, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 402 402, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 403 403, plat: 43.33, plon: 102.14, pang: 10.88, refplate: 0
plateid: 405 405, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 406 406, plat: 43.33, plon: 102.14, pang: 10.88, refplate: 0
plateid: 407 407, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 409 409, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 410 410, plat: 43.33, plon: 102.14, pang: 10.88, refplate: 0
plateid: 416 416, plat: 43.33, plon: 102.14, pang: 10.88, refplate: 0
plateid: 420 420, plat: 43.33, plon: 102.14, pang: 10.88, refplate: 0
plateid: 450 450, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 501 501, plat: -21.32, plon: -161.6, pang: 34.6, refplate: 0
plateid: 502 502, plat: -21.32, plon: -161.6, pang: 34.6, refplate: 0
plateid: 503 503, plat: -35.91, plon: 164.32, pang: 18.61, refplate: 0
plateid: 504 504, plat: -38.23, plon: -177.84, pang: 17.16, refplate: 0
plateid: 505 505, plat: -20.95, plon: -140.17, pang: 71.13, refplate: 0
plateid: 506 506, plat: -29.19, plon: -122.17, pang: 49.3, refplate: 0
plateid: 507 507, plat: -26.65, plon: -122.83, pang: 65.93, refplate: 0
plateid: 508 508, plat: -36.37, plon: 153.76, pang: 14.28, refplate: 0
plateid: 510 510, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 511 511, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 512 512, plat: 18.9, plon: 77.2, pang: 13.62, refplate: 0
plateid: 513 513, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 514 514, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 515 515, plat: -22.19, plon: -159.94, pang: 41.17, refplate: 0
plateid: 530 530, plat: -35.91, plon: 164.32, pang: 18.61, refplate: 0
plateid: 531 531, plat: -35.91, plon: 164.32, pang: 18.61, refplate: 0
plateid: 550 550, plat: -28.84, plon: 89.49, pang: 4.6, refplate: 0
plateid: 601 601, plat: -38.5, plon: 101.59, pang: 5.6, refplate: 0
plateid: 602 602, plat: -1.82, plon: 104.92, pang: 12.41, refplate: 0
plateid: 603 603, plat: 17.07, plon: 109.88, pang: 20.4, refplate: 0
plateid: 604 604, plat: -38.5, plon: 101.59, pang: 5.6, refplate: 0
plateid: 605 605, plat: 17.07, plon: 109.88, pang: 20.4, refplate: 0
plateid: 606 606, plat: -38.5, plon: 101.59, pang: 5.6, refplate: 0
plateid: 607 607, plat: 17.07, plon: 109.88, pang: 20.4, refplate: 0
plateid: 609 609, plat: -26.42, plon: 96.97, pang: 5.63, refplate: 0
plateid: 610 610, plat: -1.87, plon: 87.76, pang: 11.57, refplate: 0
plateid: 611 611, plat: 17.07, plon: 109.88, pang: 20.4, refplate: 0
plateid: 612 612, plat: -44.41, plon: -176.53, pang: 13.22, refplate: 0
plateid: 613 613, plat: -40.47, plon: -166.27, pang: 19.46, refplate: 0
plateid: 614 614, plat: 12.09, plon: 109.63, pang: 19.57, refplate: 0
plateid: 615 615, plat: 14.2, plon: 107.78, pang: 31.38, refplate: 0
plateid: 616 616, plat: 11.92, plon: 105.71, pang: 42.9, refplate: 0
plateid: 618 618, plat: 11.92, plon: 105.71, pang: 42.9, refplate: 0
plateid: 619 619, plat: 10.64, plon: 104.96, pang: 44.48, refplate: 0
plateid: 620 620, plat: 11.79, plon: 103.19, pang: 37.26, refplate: 0
plateid: 621 621, plat: 8.56, plon: 67.46, pang: 16.87, refplate: 0
plateid: 622 622, plat: 11.79, plon: 103.19, pang: 37.26, refplate: 0
plateid: 623 623, plat: 11.79, plon: 103.19, pang: 37.26, refplate: 0
plateid: 624 624, plat: 13.42, plon: 106.81, pang: 59.14, refplate: 0
plateid: 625 625, plat: 13.42, plon: 106.81, pang: 59.14, refplate: 0
plateid: 626 626, plat: 11.79, plon: 103.19, pang: 37.26, refplate: 0
plateid: 628 628, plat: -26.42, plon: 96.97, pang: 5.63, refplate: 0
plateid: 632 632, plat: 43.33, plon: 102.14, pang: 10.88, refplate: 0
plateid: 637 637, plat: -1.87, plon: 87.76, pang: 11.57, refplate: 0
plateid: 650 650, plat: -0.07, plon: -50.79, pang: 69.8, refplate: 0
plateid: 651 651, plat: 4.65, plon: -58.36, pang: 52.52, refplate: 0
plateid: 652 652, plat: -3.78, plon: -47.78, pang: 69.93, refplate: 0
plateid: 653 653, plat: -3.78, plon: -47.78, pang: 69.93, refplate: 0
plateid: 654 654, plat: -0.07, plon: -50.79, pang: 69.8, refplate: 0
plateid: 655 655, plat: -0.07, plon: -50.79, pang: 69.8, refplate: 0
plateid: 656 656, plat: 13.97, plon: -53.1, pang: 57.03, refplate: 0
plateid: 659 659, plat: 13.97, plon: -53.1, pang: 57.03, refplate: 0
plateid: 664 664, plat: 11.79, plon: 103.19, pang: 37.26, refplate: 0
plateid: 670 670, plat: 68.86, plon: -74.42, pang: 27.33, refplate: 0
plateid: 672 672, plat: -0.33, plon: -119.68, pang: 25.44, refplate: 0
plateid: 673 673, plat: 68.86, plon: -74.42, pang: 27.33, refplate: 0
plateid: 675 675, plat: -0.33, plon: -119.68, pang: 25.44, refplate: 0
plateid: 676 676, plat: -0.33, plon: -119.68, pang: 25.44, refplate: 0
plateid: 679 679, plat: 11.79, plon: 103.19, pang: 37.26, refplate: 0
plateid: 682 682, plat: -0.33, plon: -119.68, pang: 25.44, refplate: 0
plateid: 684 684, plat: -0.33, plon: -119.68, pang: 25.44, refplate: 0
plateid: 701 701, plat: 33.0, plon: -40.8, pang: -12.02, refplate: 0
plateid: 702 702, plat: -38.69, plon: 125.84, pang: 12.28, refplate: 0
plateid: 704 704, plat: -38.16, plon: 130.09, pang: 14.07, refplate: 0
plateid: 705 705, plat: -38.69, plon: 125.84, pang: 12.28, refplate: 0
plateid: 707 707, plat: -32.41, plon: 140.48, pang: 11.88, refplate: 0
plateid: 709 709, plat: -38.69, plon: 125.84, pang: 12.28, refplate: 0
plateid: 712 712, plat: -37.73, plon: 125.96, pang: 12.27, refplate: 0
plateid: 714 714, plat: -32.41, plon: 140.48, pang: 11.88, refplate: 0
plateid: 715 715, plat: 33.0, plon: -40.8, pang: -12.02, refplate: 0
plateid: 716 716, plat: 33.0, plon: -40.8, pang: -12.02, refplate: 0
plateid: 776 776, plat: -32.41, plon: 140.48, pang: 11.88, refplate: 0
plateid: 777 777, plat: 33.0, plon: -40.8, pang: -12.02, refplate: 0
plateid: 778 778, plat: -32.41, plon: 140.48, pang: 11.88, refplate: 0
plateid: 779 779, plat: 33.0, plon: -40.8, pang: -12.02, refplate: 0
plateid: 780 780, plat: 33.0, plon: -40.8, pang: -12.02, refplate: 0
plateid: 781 781, plat: -38.69, plon: 125.84, pang: 12.28, refplate: 0
plateid: 782 782, plat: 33.0, plon: -40.8, pang: -12.02, refplate: 0
plateid: 783 783, plat: 33.0, plon: -40.8, pang: -12.02, refplate: 0
plateid: 784 784, plat: -38.69, plon: 125.84, pang: 12.28, refplate: 0
plateid: 800 800, plat: -0.33, plon: -119.68, pang: 25.44, refplate: 0
plateid: 801 801, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 802 802, plat: -77.44, plon: 169.59, pang: 5.22, refplate: 0
plateid: 803 803, plat: -69.68, plon: -179.75, pang: 5.5, refplate: 0
plateid: 804 804, plat: -78.36, plon: -163.7, pang: 6.93, refplate: 0
plateid: 805 805, plat: -69.68, plon: -179.75, pang: 5.5, refplate: 0
plateid: 806 806, plat: -22.83, plon: -151.68, pang: 27.13, refplate: 0
plateid: 807 807, plat: 71.04, plon: -64.83, pang: 30.54, refplate: 0
plateid: 808 808, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 809 809, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 810 810, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 811 811, plat: 30.26, plon: 129.66, pang: 5.86, refplate: 0
plateid: 812 812, plat: -67.54, plon: -52.98, pang: 52.21, refplate: 0
plateid: 813 813, plat: 71.04, plon: -64.83, pang: 30.54, refplate: 0
plateid: 814 814, plat: 71.04, plon: -64.83, pang: 30.54, refplate: 0
plateid: 815 815, plat: -30.45, plon: -157.09, pang: 34.8, refplate: 0
plateid: 816 816, plat: -77.44, plon: 169.59, pang: 5.22, refplate: 0
plateid: 817 817, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 818 818, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 819 819, plat: -0.33, plon: -119.68, pang: 25.44, refplate: 0
plateid: 820 820, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 821 821, plat: -22.83, plon: -151.68, pang: 27.13, refplate: 0
plateid: 822 822, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 823 823, plat: -22.83, plon: -151.68, pang: 27.13, refplate: 0
plateid: 824 824, plat: -22.83, plon: -151.68, pang: 27.13, refplate: 0
plateid: 825 825, plat: -0.33, plon: -119.68, pang: 25.44, refplate: 0
plateid: 826 826, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 829 829, plat: -0.33, plon: -119.68, pang: 25.44, refplate: 0
plateid: 830 830, plat: -0.33, plon: -119.68, pang: 25.44, refplate: 0
plateid: 833 833, plat: -22.83, plon: -151.68, pang: 27.13, refplate: 0
plateid: 834 834, plat: -22.83, plon: -151.68, pang: 27.13, refplate: 0
plateid: 840 840, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 846 846, plat: -0.33, plon: -119.68, pang: 25.44, refplate: 0
plateid: 847 847, plat: -22.83, plon: -151.68, pang: 27.13, refplate: 0
plateid: 848 848, plat: -22.83, plon: -151.68, pang: 27.13, refplate: 0
plateid: 870 870, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 871 871, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 872 872, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
