Stage Name,R,G,B,Top Age
holocene_stage,254,242,236,0
upper_pleistocene,255,242,211,0.0117
middle_pleistocene,255,242,199,0.129
calabrian,255,242,186,0.774
gelasian,255,242,174,1.8
piacenzian,255,255,191,2.58
zanclean,255,255,179,3.6
messinian,255,255,115,5.33
tortonian,255,255,102,7.246
serravallian,255,255,89,11.63
langhian,255,255,77,13.82
burdigalian,255,255,65,15.98
aquitanian,255,255,51,20.45
chattian,254,230,170,23.04
rupelian,254,217,154,27.3
priabonian,253,205,161,33.9
bartonian,253,192,145,37.71
lutetian,252,180,130,41.03
ypresian,252,167,115,48.07
thanetian,253,191,111,56
selandian,254,191,101,59.24
danian,253,180,98,61.66
maastrichtian,242,250,140,66
campanian,230,244,127,72.2
santonian,217,239,116,83.6
coniacian,204,233,104,85.7
turonian,191,227,93,89.8
cenomanian,179,222,83,93.9
albian,204,234,151,100.5
aptian,191,228,138,113.2
barremian,179,223,127,121.4
hauterivian,166,217,117,125.77
valanginian,153,211,106,132.6
barriasian,140,205,96,137.05
tithonian,217,241,247,143.1
kimmeridgian,204,236,244,149.2
oxfordian,191,231,241,154.8
callovian,191,231,229,161.5
bathonian,179,226,227,165.3
bajocian,166,221,224,168.2
aalenian,154,217,221,170.9
toarcian,153,206,227,174.7
pliensbachian,128,197,221,184.2
sinemurian,103,188,216,192.9
hettangian,78,179,211,199.5
rhaetian,227,185,219,201.4
norian,214,170,211,205.7
carnian,201,131,191,227.3
ladinian,201,131,191,237
anisian,188,117,183,241.464
olenekian,176,81,165,246.7
induan,164,70,159,249.9
changhsingian,252,192,178,251.902
wuchiapingian,252,180,162,254.14
capitanian,251,154,133,259.51
wordian,251,141,118,264.28
roadian,251,128,105,266.9
kungurian,227,135,118,274.4
artinskian,227,123,104,283.3
sakmarian,227,111,92,290.1
asselian,227,99,80,293.52
gzhelian,204,212,199,298.9
kasimovian,191,208,197,303.7
moscovian,179,203,185,307
bashkirian,153,194,181,315.2
serpukhovian,191,194,107,323.4
visean,166,185,108,330.3
tournaisian,140,176,108,346.7
famennian,242,237,197,258.86
frasnian,242,237,197,372.15
givetian,241,225,133,382.31
eifelian,241,213,118,387.95
emsian,229,208,117,393.47
pragian,229,208,117,410.62
lochkovian,229,183,90,413.02
pridoli_stage,230,245,225,419.62
ludfordian,217,240,223,422.7
gorstian,204,236,221,425
homerian,204,235,209,426
sheinwoodian,191,230,195,430.6
telychian,191,230,207,432.9
aeronian,179,225,194,438.6
rhuddanian,166,220,181,440.5
hirnantian,166,219,171,443.1
katian,153,214,159,445.2
sandbian,140,208,148,452.8
darriwilian,116,198,156,458.2
dapingian,102,192,146,469.4
floian,65,176,135,471.3
tremadocian,51,169,126,477.1
stage_10,230,245,201,486.85
jiangshanian,217,240,187,491
paibian,204,235,174,494.2
guzhangian,204,233,170,497
drumian,191,217,157,500.5
stage_5,179,212,146,504.5
stage_4,179,202,142,506.5
stage_3,166,197,131,514.5
stage_2,166,186,128,521
fortunian,153,181,117,529
ediacaran,254,217,106,538.8
cryogenian,254,204,92,635
tonian,254,191,78,720
stenian,254,217,154,1000
ectasian,253,204,138,1200
calymmian,253,192,122,1400
statherian,248,117,167,1600
orosirian,247,104,152,1800
rhyacian,247,91,137,2050
siderian,247,79,124,2300
neoarchean,249,155,193,2500
mesoarchean,247,104,169,2800
paleoarchean,244,68,159,3200
eoarchean,218,3,127,3600
hadean,174,2,126,4031
,,,,4567
