URN,label,PlateID,Latitude,Longitude,Symbol,Size,Azimuth,Start,End,Border color,Fill color,Alpha
1,Grid1,0,-23.93,-70.04,circle,4,0,150,150,red,None,1
2,Grid2,0,3.15,-53.81,triangle,4,0,150,150,blue,None,1
3,Grid3,0,5.43,-45.43,square,4,0,150,150,green,None,1
4,Grid4,0,8.32,-37.21,plus,4,0,150,150,purple,None,1
5,Grid5,0,11.74,-29.13,cross,4,0,150,150,orange,None,1
6,Grid6,0,15.63,-21.17,storm,4,0,150,150,darkmagenta,None,1
7,Grid7,0,19.9,-13.26,asterisk,4,0,150,150,cyan,None,1
8,Grid8,0,24.46,-5.31,diamond,4,0,150,150,magenta,None,1
9,Grid9,0,25.66,-39.59,star,4,0,150,150,yellow,None,1
10,Grid10,0,26.31,-29.98,dextral,4,0,150,150,teal,None,1
11,Grid11,0,27.07,-20.32,sinistral,4,0,150,150,lime,None,1
12,Grid12,0,27.92,-10.61,arrow01,4,0,150,150,indigo,None,1
13,Grid13,0,28.84,-0.82,arrow02,4,0,150,150,maroon,None,1
14,Grid14,0,29.14,8.55,arrow03,4,0,150,150,olive,None,1
15,Grid15,0,29.42,18.47,arrow04,4,0,150,150,navy,None,1
16,Grid16,0,29.72,28.42,arrow05,4,0,150,150,coral,None,1
17,Grid17,0,27.86,37.23,arrow06,4,0,150,150,gold,None,1
18,Grid18,0,27.06,46.94,subduction,4,0,150,150,tan,None,1
19,Grid19,0,11.54,52.35,normal,4,0,150,150,skyblue,None,1
20,Grid20,0,1.33,56.47,conglomerate,4,0,150,150,orchid,None,1
21,Grid21,0,-5.53,61.76,sand,4,0,150,150,sienna,None,1
22,Grid22,0,42.57,100.08,sandwmud,4,0,150,150,peru,None,1
23,Grid23,0,53.14,131.05,mud,4,0,150,150,darkgreen,None,1
24,Grid24,0,50.66,146.93,mudwls,4,0,150,150,darkcyan,None,1
25,Grid25,0,48.09,159.64,lswmud,4,0,150,150,darkmagenta,None,1
26,Grid26,0,46.11,172.73,limestone,4,0,150,150,darkorange,None,1
27,Grid27,0,-28.59,-60.16,circle,4,60,150,150,red,lightcoral,1
28,Grid28,0,-19.93,-56.15,triangle,4,60,150,150,blue,lightblue,1
29,Grid29,0,-4.12,-42.44,square,4,60,150,150,green,lightgreen,1
30,Grid30,0,-0.29,-35.14,plus,4,60,150,150,purple,plum,1
31,Grid31,0,1.78,-25.98,cross,4,60,150,150,orange,moccasin,1
32,Grid32,0,15.63,-21.17,storm,4,60,150,150,darkmagenta,lavenderblush,1
33,Grid33,0,11.24,-8.06,asterisk,4,60,150,150,cyan,paleturquoise,1
34,Grid34,0,15.96,0.3,diamond,4,60,150,150,magenta,lavender,1
35,Grid35,0,15.68,-38.88,star,4,60,150,150,yellow,lightyellow,1
36,Grid36,0,16.34,-29.13,dextral,4,60,150,150,teal,powderblue,1
37,Grid37,0,17.11,-19.35,sinistral,4,60,150,150,lime,palegreen,1
38,Grid38,0,17.97,-9.54,arrow01,4,60,150,150,indigo,mediumslateblue,1
39,Grid39,0,18.9,0.32,arrow02,4,60,150,150,maroon,lightpink,1
40,Grid40,0,19.85,10.23,arrow03,4,60,150,150,olive,darkkhaki,1
41,Grid41,0,19.42,18.83,arrow04,4,60,150,150,navy,lightsteelblue,1
42,Grid42,0,19.72,28.8,arrow05,4,60,150,150,coral,lightsalmon,1
43,Grid43,0,17.91,36.21,arrow06,4,60,150,150,gold,palegoldenrod,1
44,Grid44,0,17.1,46.03,subduction,4,60,150,150,tan,wheat,1
45,Grid45,0,16.37,55.81,normal,4,60,150,150,skyblue,lightskyblue,1
46,Grid46,0,-4.41,48.27,conglomerate,4,60,150,150,orchid,thistle,1
47,Grid47,0,-11.93,53.98,sand,4,60,150,150,sienna,burlywood,1
48,Grid48,0,-18.95,60.45,sandwmud,4,60,150,150,peru,peachpuff,1
49,Grid49,0,41.64,124.37,mud,4,60,150,150,darkgreen,darkseagreen,1
50,Grid50,0,40.94,143.54,mudwls,4,60,150,150,darkcyan,lightcyan,1
51,Grid51,0,38.57,155.38,lswmud,4,60,150,150,darkmagenta,lavenderblush,1
52,Grid52,0,23.09,160.62,limestone,4,60,150,150,darkorange,navajowhite,1
1,Grid1,0,11.58,-2.06,urn,4,0,150,150,red,None,1
10,Grid2,0,1.38,-27.99,urn,4,0,150,150,blue,None,1
100,Grid3,0,2.17,-18.05,urn,4,0,150,150,green,None,1
1000,Grid4,0,3.5,-3.15,urn,4,0,150,150,purple,None,1
1,Grid1,0,5,10,urn,4,60,150,150,red,lightcoral,1
10,Grid2,0,5,20,urn,4,60,150,150,blue,lightblue,1
100,Grid3,0,5,30,urn,4,60,150,150,green,lightgreen,1
1000,Grid4,0,5.22,38.12,urn,4,60,150,150,purple,plum,1
51,t,0,15.22,20.6,label,4,0,150,150,red,None,1
52,text,0,-5,-10,label,4,0,150,150,blue,None,1
53,é,0,-5,0,label,4,0,150,150,green,None,1
54,téxtüål,0,-5,20,label,4,0,150,150,purple,None,1
58,Southern Ocean,0,-13.27,38.27,label,3,0,150,150,purple,plum,1
59,Andes Mountains,0,-41.84,28.76,label,3,90,150,150,peru,peachpuff,1
