URN,label,PlateID,Latitude,Longitude,Symbol,Size,Azimuth,Start,End,Border color,Fill color,Alpha
1,Grid1,0,5.85,-84.3,circle,4,0,150,150,red,None,1
2,Grid2,0,26.89,-59.88,triangle,4,0,150,150,blue,None,1
3,Grid3,0,25.48,-50.36,square,4,0,150,150,green,None,1
4,Grid4,0,24.2,-40.92,plus,4,0,150,150,purple,None,1
5,Grid5,0,23.1,-31.54,cross,4,0,150,150,orange,None,1
6,Grid6,0,22.2,-22.21,storm,4,0,150,150,darkmagenta,None,1
7,Grid7,0,21.52,-12.91,asterisk,4,0,150,150,cyan,None,1
8,Grid8,0,21.07,-3.63,diamond,4,0,150,150,magenta,None,1
9,Grid9,0,40.15,-32.36,star,4,0,150,150,yellow,None,1
10,Grid10,0,35.65,-22.97,dextral,4,0,150,150,teal,None,1
11,Grid11,0,31.12,-14.13,sinistral,4,0,150,150,lime,None,1
12,Grid12,0,26.66,-5.65,arrow01,4,0,150,150,indigo,None,1
13,Grid13,0,22.36,2.61,arrow02,4,0,150,150,maroon,None,1
14,Grid14,0,17.99,10.01,arrow03,4,0,150,150,olive,None,1
15,Grid15,0,13.66,17.8,arrow04,4,0,150,150,navy,None,1
16,Grid16,0,9.75,25.69,arrow05,4,0,150,150,coral,None,1
17,Grid17,0,4.76,31.91,arrow06,4,0,150,150,gold,None,1
18,Grid18,0,0.84,39.64,subduction,4,0,150,150,tan,None,1
19,Grid19,0,-15.5,39.52,normal,4,0,150,150,skyblue,None,1
20,Grid20,0,-26.46,40.45,conglomerate,4,0,150,150,orchid,None,1
21,Grid21,0,-34.52,44.13,sand,4,0,150,150,sienna,None,1
22,Grid22,0,11.02,84.27,sandwmud,4,0,150,150,peru,None,1
23,Grid23,0,26.82,102.12,mud,4,0,150,150,darkgreen,None,1
24,Grid24,0,29.39,113.18,mudwls,4,0,150,150,darkcyan,None,1
25,Grid25,0,32.01,122.78,lswmud,4,0,150,150,darkmagenta,None,1
26,Grid26,0,36.14,132.61,limestone,4,0,150,150,darkorange,None,1
27,Grid27,0,-0.94,-76.94,circle,4,60,150,150,red,lightcoral,1
28,Grid28,0,6.13,-70.74,triangle,4,60,150,150,blue,lightblue,1
29,Grid29,0,15.59,-51.97,square,4,60,150,150,green,lightgreen,1
30,Grid30,0,15.67,-43.42,plus,4,60,150,150,purple,plum,1
31,Grid31,0,12.95,-34.14,cross,4,60,150,150,orange,moccasin,1
32,Grid32,0,22.2,-22.21,storm,4,60,150,150,darkmagenta,lavenderblush,1
33,Grid33,0,11.54,-13.57,asterisk,4,60,150,150,cyan,paleturquoise,1
34,Grid34,0,11.08,-4,diamond,4,60,150,150,magenta,lavender,1
35,Grid35,0,31.39,-38.34,star,4,60,150,150,yellow,lightyellow,1
36,Grid36,0,26.99,-28.83,dextral,4,60,150,150,teal,powderblue,1
37,Grid37,0,22.47,-19.75,sinistral,4,60,150,150,lime,palegreen,1
38,Grid38,0,17.95,-10.97,arrow01,4,60,150,150,indigo,mediumslateblue,1
39,Grid39,0,13.54,-2.35,arrow02,4,60,150,150,maroon,lightpink,1
40,Grid40,0,9.33,6.23,arrow03,4,60,150,150,olive,darkkhaki,1
41,Grid41,0,4.84,13.03,arrow04,4,60,150,150,navy,lightsteelblue,1
42,Grid42,0,0.68,21.46,arrow05,4,60,150,150,coral,lightsalmon,1
43,Grid43,0,-3.97,27.04,arrow06,4,60,150,150,gold,palegoldenrod,1
44,Grid44,0,-8.25,35.45,subduction,4,60,150,150,tan,wheat,1
45,Grid45,0,-11.84,44.27,normal,4,60,150,150,skyblue,lightskyblue,1
46,Grid46,0,-29.15,29.55,conglomerate,4,60,150,150,orchid,thistle,1
47,Grid47,0,-38.2,32.58,sand,4,60,150,150,sienna,burlywood,1
48,Grid48,0,-46.96,37.23,sandwmud,4,60,150,150,peru,peachpuff,1
49,Grid49,0,14.48,102.38,mud,4,60,150,150,darkgreen,darkseagreen,1
50,Grid50,0,19.82,116.37,mudwls,4,60,150,150,darkcyan,lightcyan,1
51,Grid51,0,22.44,126.05,lswmud,4,60,150,150,darkmagenta,lavenderblush,1
52,Grid52,0,11.72,138.67,limestone,4,60,150,150,darkorange,navajowhite,1
1,Grid1,0,8.64,-8.37,urn,4,0,150,150,red,None,1
10,Grid2,0,13.63,-36.13,urn,4,0,150,150,blue,None,1
100,Grid3,0,9.19,-27.03,urn,4,0,150,150,green,None,1
1000,Grid4,0,2.4,-13.64,urn,4,0,150,150,purple,None,1
1,Grid1,0,-3.25,-1.7,urn,4,60,150,150,red,lightcoral,1
10,Grid2,0,-8.29,6.94,urn,4,60,150,150,blue,lightblue,1
100,Grid3,0,-13.01,15.87,urn,4,60,150,150,green,lightgreen,1
1000,Grid4,0,-16.32,23.5,urn,4,60,150,150,purple,plum,1
51,t,0,0.34,12.46,label,4,0,150,150,red,None,1
52,text,0,-1.15,-23.96,label,4,0,150,150,blue,None,1
53,é,0,-6.47,-15.52,label,4,0,150,150,green,None,1
54,téxtüål,0,-16.96,1.81,label,4,0,150,150,purple,None,1
58,Southern Ocean,0,-33.02,14.72,label,3,0,150,150,purple,plum,1
59,Andes Mountains,0,-51.3,-17.61,label,3,90,150,150,peru,peachpuff,1
