URN,label,PlateID,Latitude,Longitude,symbol,size,azimuth,start,end,line_color,fill
1,Chicago,0,0.02,-19.87,Chicago,1.5,0,999,-999,black,black
2,Boston,0,-4.2,-8.41,Boston,1.5,0,600,-999,black,black
4,NE Siberia,0,55.03,1.7,NE Siberia,1.5,0,999,-999,black,black
5,Mexico City,0,-9.85,-44.92,Mexico City,1.5,0,999,-999,black,black
6,Amazonia,0,-24.13,-32.41,Amazonia,1.5,0,600,-999,black,black
7,Rio de Janerio,0,-49.22,-23.78,Rio de Janerio,1.5,0,600,-999,black,black
8,Terra del Fuego,0,-57.75,-83.91,Terra del Fuego,1.5,0,600,-999,black,black
9,London,0,5.4,12.4,London,1.5,0,600,-999,black,black
10,Paris,0,2.66,14.15,Paris,1.5,0,600,-999,black,black
11,Rome,0,-12.39,21.71,Rome,1.5,0,600,-999,black,black
12,Turkey,0,-24.34,31.23,Turkey,1.5,0,600,-999,black,black
13,Madrid,0,-5.29,11.83,Madrid,1.5,0,600,-999,black,black
14,Oslo,0,14.54,16.19,Oslo,1.5,0,999,-999,black,black
15,Moscow,0,17.43,30.4,Moscow,1.5,0,999,-999,black,black
16,West Siberian Lowlands,0,41.59,30.17,West Siberian Lowlands,1.5,0,999,-999,black,black
17,Siberia,0,58.33,29.13,Siberia,1.5,0,999,-999,black,black
18,New Delhi,0,-60.07,61.93,New Delhi,1.5,0,999,-999,black,black
19,Sri Lanka,0,-72.53,18.61,Sri Lanka,1.5,0,999,-999,black,black
20,Beijing,0,21.6,91.28,Beijing,1.5,0,999,-999,black,black
21,Ordos Basin,0,23.88,83.19,Ordos Basin,1.5,0,999,-999,black,black
22,Central China,0,-7.59,91.71,Central China,1.5,0,999,-999,black,black
23,Shanghai,0,-5.54,102.13,Shanghai,1.5,0,999,-999,black,black
24,Tibet,0,-48.26,86.28,Tibet,1.5,0,999,-999,black,black
25,Tarim Basin,0,23.86,73.53,Tarim Basin,1.5,0,999,-999,black,black
26,Indochina,0,-18.57,105.5,Indochina,1.5,0,999,-999,black,black
27,Malaysia,0,-29.77,125.09,Malaysia,1.5,0,999,-999,black,black
28,Cairo,0,-28.3,30.14,Cairo,1.5,0,600,-999,black,black
29,East Africa,0,-56.26,14.68,East Africa,1.5,0,600,-999,black,black
30,Madagascar,0,-62.14,31.27,Madagascar,1.5,0,999,-999,black,black
31,Capetown,0,-60.93,-57.68,Capetown,1.5,0,600,-999,black,black
32,Australia,0,-55.48,134.66,Australia,1.5,0,999,-999,black,black
33,Sydney,0,-58.9,167.86,Sydney,1.5,0,999,-999,black,black
34,Perth,0,-64.47,102.81,Perth,1.5,0,999,-999,black,black
36,East Antarctica,0,-81.62,32.12,East Antarctica,1.5,0,999,-999,black,black
37,Dry Valley,0,-73.86,163.84,Dry Valley,1.5,0,999,-999,black,black
1,Chicago,0,-1.77,-20.76,circle,2,0,999,-999,byPlateId,byPlateId
2,Boston,0,-6.14,-8.9,circle,2,0,600,-999,byPlateId,byPlateId
4,NE Siberia,0,56.99,1.04,circle,2,0,999,-999,byPlateId,byPlateId
5,Mexico City,0,-10.98,-46.6,circle,2,0,999,-999,byPlateId,byPlateId
6,Amazonia,0,-25.93,-33.37,circle,2,0,600,-999,byPlateId,byPlateId
7,Rio de Janerio,0,-51.04,-25.06,circle,2,0,600,-999,byPlateId,byPlateId
8,Terra del Fuego,0,-58.88,-87.06,circle,2,0,600,-999,byPlateId,byPlateId
9,London,0,3.42,12.74,circle,2,0,600,-999,byPlateId,byPlateId
10,Paris,0,0.7,14.53,circle,2,0,600,-999,byPlateId,byPlateId
11,Rome,0,-13.77,20.22,circle,2,0,600,-999,byPlateId,byPlateId
12,Turkey,0,-25.87,29.8,circle,2,0,600,-999,byPlateId,byPlateId
13,Madrid,0,-7.04,10.85,circle,2,0,600,-999,byPlateId,byPlateId
14,Oslo,0,12.64,16.83,circle,2,0,999,-999,byPlateId,byPlateId
15,Moscow,0,15.85,31.68,circle,2,0,999,-999,byPlateId,byPlateId
16,West Siberian Lowlands,0,41.77,32.84,circle,2,0,999,-999,byPlateId,byPlateId
17,Siberia,0,59.72,31.94,circle,2,0,999,-999,byPlateId,byPlateId
18,New Delhi,0,-61.5,59.06,circle,2,0,999,-999,byPlateId,byPlateId
19,Sri Lanka,0,-72.05,12.22,circle,2,0,999,-999,byPlateId,byPlateId
20,Beijing,0,19.86,90.22,circle,2,0,999,-999,byPlateId,byPlateId
21,Ordos Basin,0,22.2,82,circle,2,0,999,-999,byPlateId,byPlateId
22,Central China,0,-8.88,93.26,circle,2,0,999,-999,byPlateId,byPlateId
23,Shanghai,0,-6.67,103.79,circle,2,0,999,-999,byPlateId,byPlateId
24,Tibet,0,-50.24,86.73,circle,2,0,999,-999,byPlateId,byPlateId
25,Tarim Basin,0,22.73,71.74,circle,2,0,999,-999,byPlateId,byPlateId
26,Indochina,0,-19.29,107.47,circle,2,0,999,-999,byPlateId,byPlateId
27,Malaysia,0,-28.39,126.75,circle,2,0,999,-999,byPlateId,byPlateId
28,Cairo,0,-30.16,29.32,circle,2,0,600,-999,byPlateId,byPlateId
29,East Africa,0,-57.97,12.77,circle,2,0,600,-999,byPlateId,byPlateId
30,Madagascar,0,-63.81,28.85,circle,2,0,999,-999,byPlateId,byPlateId
31,Capetown,0,-60.76,-61.77,circle,2,0,600,-999,byPlateId,byPlateId
32,Australia,0,-57.43,135.47,circle,2,0,999,-999,byPlateId,byPlateId
33,Sydney,0,-60.56,170.07,circle,2,0,999,-999,byPlateId,byPlateId
34,Perth,0,-66.45,102.18,circle,2,0,999,-999,byPlateId,byPlateId
36,East Antarctica,0,-83.61,30.83,circle,2,0,999,-999,byPlateId,byPlateId
37,Dry Valley,0,-75.72,166.66,circle,2,0,999,-999,byPlateId,byPlateId
